,GenBankAccession,Country,Host,CollectionDate,Serotype,Strain,Isolate,IsolationSource
234,OQ457195,NER,cattle,2020,Unknown,Unknown,NIG-PL-178-PLBK-033GF-2020,epithelial tissue
235,OQ457194,NER,cattle,2020,Unknown,Unknown,NIG-PL-175-PLBK-030GF-2020,epithelial tissue
236,OQ457193,NER,cattle,2020,Unknown,Unknown,NIG-PL-174-PLJN-029GF-2020,epithelial tissue
237,OQ457192,NER,cattle,2020,Unknown,Unknown,NIG-PL-173-PLJN-028GF-2020,epithelial tissue
238,OQ457191,NER,cattle,2020,Unknown,Unknown,NIG-PL-172-PLJN-027GF-2020,epithelial tissue
239,OQ457190,NER,cattle,2020,Unknown,Unknown,NIG-PL-170-PLJN-025GF-2020,epithelial tissue
240,OQ457189,NER,cattle,2020,Unknown,Unknown,NIG-PL-169-PLJN-024GF-2020,epithelial tissue
241,OQ457188,NER,cattle,2020,Unknown,Unknown,NIG-PL-168-PLJN-023GF-2020,epithelial tissue
242,OQ457186,NER,cattle,2020,Unknown,Unknown,NIG-PL-165-PLJN-0120GF-2020,epithelial tissue
243,OQ457185,NER,cattle,2020,Unknown,Unknown,NIG-PL-164-PLJE-019GF-2020,epithelial tissue
244,OQ457184,NER,cattle,2020,Unknown,Unknown,NIG-PL-162-PLJE-017GF-2020,epithelial tissue
245,OQ745961,THA,cattle,2016,A,Unknown,A/TAI/NP05/2016,Unknown
246,OQ401874,NER,cattle,2020,SAT2,Unknown,NIG-PL-157-PLBL-012GF-2020,epithelial tissue
247,OQ401873,NER,cattle,2020,SAT2,Unknown,NIG-PL-156-PLBL-011GF-2020,epithelial tissue
248,OQ401872,NER,cattle,2020,SAT2,Unknown,NIG-PL-155-PLBL-010GF-2020,epithelial tissue
249,OQ401871,NER,cattle,2020,SAT2,Unknown,NIG-PL-154-PLBL-009GF-2020,epithelial tissue
250,OQ401870,NER,cattle,2020,SAT2,Unknown,NIG-PL-153-PLBL-008GF-2020,epithelial tissue
251,OQ401869,NER,cattle,2020,SAT2,Unknown,NIG-PL-152-PLBL-007GF-2020,epithelial tissue
252,OQ401868,NER,cattle,2020,SAT2,Unknown,NIG-PL-151-PLBL-006GF-2020,epithelial tissue
253,OQ401867,NER,cattle,2020,SAT2,Unknown,NIG-PL-149-PLBL-004GF-2020,epithelial tissue
254,OQ401866,NER,cattle,2020,SAT2,Unknown,NIG-PL-148-PLBL-003GF-2020,epithelial tissue
255,OQ401865,NER,cattle,2020,SAT2,Unknown,NIG-PL-147-PLBL-002GF-2020,epithelial tissue
256,LC771233,IRQ,water-buffalo,2023,A,Unknown,BASRAHB1,tongue epithelium of Bubalus bubalis
257,LC770123,IRQ,cattle,2023,SAT1,Unknown,BASRAH1C,tongue epithelium
258,OP957418,BGD,cattle,2021,O,Unknown,BAN/MY/My-466/2021,tongue epithelium
259,ON868623,VNM,pig,2017,O,Unknown,O/VIT/17-19073/2017,epithelial tissue
260,ON868622,VNM,pig,2017,O,Unknown,O/VIT/17-17547/2017,epithelial tissue
261,ON868621,VNM,cow,2017,A,Unknown,A/VIT/DT-P057-3/2017_pro,oropharyngeal fluid (probang sample)
262,ON868620,VNM,pig,2019,O,Unknown,O/VIT/19F-70/2019,epithelial tissue
263,ON868619,VNM,pig,2019,O,Unknown,O/VIT/19F-48/2019,epithelial tissue
264,ON868618,VNM,pig,2019,O,Unknown,O/VIT/19-6734/2019,epithelial tissue
265,ON868617,VNM,pig,2019,O,Unknown,O/VIT/19F-50/2019,epithelial tissue
266,ON868616,VNM,pig,2018,O,Unknown,O/VIT/18-993.4/2018,epithelial tissue
267,ON868615,VNM,pig,2018,O,Unknown,O/VIT/18F287/2018,epithelial tissue
268,ON868614,VNM,pig,2019,O,Unknown,O/VIT/19-5849/2019,epithelial tissue
269,ON868613,VNM,pig,2019,O,Unknown,O/VIT/19F20/2019,epithelial tissue
270,ON868612,VNM,pig,2019,O,Unknown,O/VIT/19F-63/2019,epithelial tissue
271,ON868611,VNM,pig,2018,O,Unknown,O/VIT/18F261/2018,epithelial tissue
272,ON868610,VNM,pig,2019,O,Unknown,O/VIT/19F-69/2019,epithelial tissue
273,ON868609,VNM,pig,2019,O,Unknown,O/VIT/19F-66/2019,epithelial tissue
274,ON868608,VNM,pig,2019,O,Unknown,O/VIT/19F38/2019,epithelial tissue
275,ON868607,VNM,pig,2019,O,Unknown,O/VIT/19F30/2019,epithelial tissue
276,ON868606,VNM,pig,2019,O,Unknown,O/VIT/19F33/2019,epithelial tissue
277,ON868605,VNM,pig,2019,O,Unknown,O/VIT/19F-57/2019,epithelial tissue
278,ON868604,VNM,pig,2018,O,Unknown,O/VIT/18-1001.1/2018,epithelial tissue
279,ON868603,VNM,pig,2018,O,Unknown,O/VIT/18F238/2018,epithelial tissue
280,ON868602,VNM,pig,2019,O,Unknown,O/VIT/19F23/2019,epithelial tissue
281,ON868601,VNM,pig,2018,O,Unknown,O/VIT/18F289/2018,epithelial tissue
282,ON868600,VNM,pig,2018,O,Unknown,O/VIT/18F292/2018,epithelial tissue
283,ON868599,VNM,pig,2019,O,Unknown,O/VIT/19F36/2019,epithelial tissue
284,ON868598,VNM,pig,2018,O,Unknown,O/VIT/18-27409/2018,epithelial tissue
285,ON868597,VNM,pig,2019,O,Unknown,O/VIT/19-6521/2019,epithelial tissue
286,ON868596,VNM,pig,2018,O,Unknown,O/VIT/18CD-1933.1/2018,epithelial tissue
287,ON868595,VNM,pig,2018,O,Unknown,O/VIT/18F271/2018,epithelial tissue
288,ON868594,VNM,pig,2019,O,Unknown,O/VIT/19F43/2019,epithelial tissue
289,ON868593,VNM,pig,2018,O,Unknown,O/VIT/18-27160/2018,epithelial tissue
290,ON868592,VNM,pig,2018,O,Unknown,O/VIT/18-962.1/2018,epithelial tissue
291,ON868591,VNM,pig,2019,O,Unknown,O/VIT/19-4183/2019,epithelial tissue
292,ON868590,VNM,pig,2019,O,Unknown,O/VIT/19-1446/2019,epithelial tissue
293,ON868589,VNM,pig,2019,O,Unknown,O/VIT/19-1443/2019,epithelial tissue
294,ON868588,VNM,water-buffalo,2018,O,Unknown,O/VIT/LA-P30-11/2018_pro,oropharyngeal fluid (probang sample)
295,ON868587,VNM,cow,2017,O,Unknown,O/VIT/DT-P037-3/2017_pro,oropharyngeal fluid (probang sample)
296,ON868586,VNM,cow,2017,O,Unknown,O/VIT/DT-P115-2/2017_pro,oropharyngeal fluid (probang sample)
297,ON868585,VNM,Unknown,2018,O,Unknown,O/VIT/DT-P-141-2/2018_pro,oropharyngeal fluid (probang sample)
298,ON868584,VNM,cow,2017,O,Unknown,O/VIT/DT-P052-3/2017_pro,oropharyngeal fluid (probang sample)
299,ON868583,VNM,Unknown,2018,O,Unknown,O/VIT/NT-P-51-3/2018_pro,oropharyngeal fluid (probang sample)
300,ON868582,VNM,cow,2018,O,Unknown,O/VIT/LA-P06-10/2018_pro,oropharyngeal fluid (probang sample)
301,ON868581,VNM,cow,2018,O,Unknown,O/VIT/LA-P09-10/2018_pro,oropharyngeal fluid (probang sample)
302,ON868580,VNM,cow,2017,O,Unknown,O/VIT/DL-P44-1/2017_pro,oropharyngeal fluid (probang sample)
303,ON868579,VNM,cow,2017,O,Unknown,O/VIT/17-15223/2017,epithelial tissue
304,ON868578,VNM,cow,2019,O,Unknown,O/VIT/DT-P31-4/2019_pro,oropharyngeal fluid (probang sample)
305,ON868577,VNM,Unknown,2018,O,Unknown,O/VIT/DT-P-143-2/2018_pro,oropharyngeal fluid (probang sample)
306,ON868576,VNM,Unknown,2018,O,Unknown,O/VIT/DT-P-91-3/2018_pro,oropharyngeal fluid (probang sample)
307,ON868575,VNM,Unknown,2018,O,Unknown,O/VIT/DT-P150-1/2018_pro,oropharyngeal fluid (probang sample)
308,ON868574,VNM,cow,2018,O,Unknown,O/VIT/BK-P159-3/2018_pro,oropharyngeal fluid (probang sample)
309,ON868573,VNM,Unknown,2019,O,Unknown,O/VIT/19-1423-45/2019_pro,oropharyngeal fluid (probang sample)
310,ON868572,VNM,cow,2019,O,Unknown,O/VIT/DT-P-31-3/2019_pro,oropharyngeal fluid (probang sample)
311,ON868571,VNM,cow,2018,O,Unknown,O/VIT/TN-P04-11/2018_pro,oropharyngeal fluid (probang sample)
312,ON868570,VNM,Unknown,2019,O,Unknown,O/VIT/DL-P-246C-1/2019_pro,oropharyngeal fluid (probang sample)
313,ON868569,VNM,water-buffalo,2018,O,Unknown,O/VIT/BK-P101-1B/2018_pro,oropharyngeal fluid (probang sample)
314,ON868568,VNM,cow,2018,O,Unknown,O/VIT/LA-P29-16/2018_pro,oropharyngeal fluid (probang sample)
315,ON868567,VNM,water-buffalo,2018,O,Unknown,O/VIT/LS-P72-2/2018_pro,oropharyngeal fluid (probang sample)
316,ON868566,VNM,cow,2018,O,Unknown,O/VIT/LA-P17-13/2018_pro,oropharyngeal fluid (probang sample)
317,ON868565,VNM,cow,2019,O,Unknown,O/VIT/LAP03-13/2019_pro,oropharyngeal fluid (probang sample)
318,ON868564,VNM,cow,2018,O,Unknown,O/VIT/TN-P20-14/2018_pro,oropharyngeal fluid (probang sample)
319,ON868563,VNM,water-buffalo,2018,O,Unknown,O/VIT/BK-P100-1/2018_pro,oropharyngeal fluid (probang sample)
320,ON868562,VNM,cow,2019,O,Unknown,O/VIT/DT-P-28-3/2019_pro,oropharyngeal fluid (probang sample)
321,ON868561,VNM,cow,2019,O,Unknown,O/VIT/LAP03-21/2019_pro,oropharyngeal fluid (probang sample)
322,ON868560,VNM,cow,2018,O,Unknown,O/VIT/LA-P09-15/2018_pro,oropharyngeal fluid (probang sample)
323,ON868559,VNM,Unknown,2018,O,Unknown,O/VIT/DT-P55-1/2018_pro,oropharyngeal fluid (probang sample)
324,ON868558,VNM,cow,2019,O,Unknown,O/VIT/DT-P28-4/2019_pro,oropharyngeal fluid (probang sample)
325,ON868557,VNM,water-buffalo,2018,O,Unknown,O/VIT/18-11786/2018,epithelial tissue
326,ON868556,VNM,cow,2019,O,Unknown,O/VIT/LAP03-23/2019_pro,oropharyngeal fluid (probang sample)
327,ON868555,VNM,cow,2018,O,Unknown,O/VIT/TN-P09-16/2018_pro,oropharyngeal fluid (probang sample)
328,ON868554,VNM,pig,2018,O,Unknown,O/VIT/18-23369/2018,epithelial tissue
329,ON868553,VNM,cow,2019,O,Unknown,O/VIT/LAP03-20/2019_pro,oropharyngeal fluid (probang sample)
330,ON868552,VNM,pig,2019,O,Unknown,O/VIT/19-4196/2019,epithelial tissue
331,ON868551,VNM,cow,2018,O,Unknown,O/VIT/TN-P06-16/2018_pro,oropharyngeal fluid (probang sample)
332,ON868550,VNM,Unknown,2018,O,Unknown,O/VIT/LA-P26-10/2018_pro,oropharyngeal fluid (probang sample)
333,ON868549,VNM,cow,2018,O,Unknown,O/VIT/18-2570/2018,epithelial tissue
334,ON868548,VNM,cow,2018,O,Unknown,O/VIT/TN-P29-13/2018_pro,oropharyngeal fluid (probang sample)
335,ON868547,VNM,cow,2018,O,Unknown,O/VIT/18-9129/2018,epithelial tissue
336,ON868546,VNM,Unknown,2018,O,Unknown,O/VIT/DT-P-69-1/2018_pro,oropharyngeal fluid (probang sample)
337,ON868545,VNM,cow,2018,O,Unknown,O/VIT/TN-P01-16/2018_pro,oropharyngeal fluid (probang sample)
338,ON868544,VNM,Unknown,2018,O,Unknown,O/VIT/LA-P27-15/2018_pro,oropharyngeal fluid (probang sample)
339,ON868543,VNM,Unknown,2018,O,Unknown,O/VIT/DT-P-119-3/2018_pro,oropharyngeal fluid (probang sample)
340,ON868542,VNM,pig,2018,O,Unknown,O/VIT/18-3334/2018,epithelial tissue
341,ON868541,VNM,Unknown,2018,O,Unknown,O/VIT/DT-P-14-1/2018_pro,oropharyngeal fluid (probang sample)
342,ON868540,VNM,water-buffalo,2018,O,Unknown,O/VIT/LA-P29-11/2018_pro,oropharyngeal fluid (probang sample)
343,ON868539,VNM,cow,2018,O,Unknown,O/VIT/TN-P20-11/2018_pro,oropharyngeal fluid (probang sample)
344,ON868538,VNM,cow,2018,O,Unknown,O/VIT/LA-P12-11/2018_pro,oropharyngeal fluid (probang sample)
345,ON868537,VNM,Unknown,2018,O,Unknown,O/VIT/DT-P-72-1/2018_pro,oropharyngeal fluid (probang sample)
346,ON868536,VNM,cow,2018,O,Unknown,O/VIT/TN-P26-11/2018_pro,oropharyngeal fluid (probang sample)
347,ON868535,VNM,Unknown,2018,O,Unknown,O/VIT/DT-P-107-1/2018_pro,oropharyngeal fluid (probang sample)
348,ON868534,VNM,Unknown,2018,O,Unknown,O/VIT/DT-P-147-2/2018_pro,oropharyngeal fluid (probang sample)
349,ON868533,VNM,Unknown,2018,O,Unknown,O/VIT/DT-P-108-2/2018_pro,oropharyngeal fluid (probang sample)
350,ON868532,VNM,Unknown,2018,O,Unknown,O/VIT/DT-P-108-3/2018_pro,oropharyngeal fluid (probang sample)
351,ON868531,VNM,Unknown,2018,O,Unknown,O/VIT/DT-P-69-3/2018_pro,oropharyngeal fluid (probang sample)
352,ON868530,VNM,Unknown,2018,O,Unknown,O/VIT/DT-P-69-2/2018_pro,oropharyngeal fluid (probang sample)
353,ON868529,VNM,cow,2018,O,Unknown,O/VIT/LA-P02-15/2018_pro,oropharyngeal fluid (probang sample)
354,ON868528,VNM,pig,2018,O,Unknown,O/VIT/18-5835/2018,epithelial tissue
355,ON868527,VNM,cow,2018,O,Unknown,O/VIT/LA-P01-15/2018_pro,oropharyngeal fluid (probang sample)
356,ON868526,VNM,cow,2018,O,Unknown,O/VIT/LA-P13-11/2018_pro,oropharyngeal fluid (probang sample)
357,ON868525,VNM,water-buffalo,2018,O,Unknown,O/VIT/LA-P04-15/2018_pro,oropharyngeal fluid (probang sample)
358,ON868524,VNM,cow,2018,O,Unknown,O/VIT/TN-P13-11/2018_pro,oropharyngeal fluid (probang sample)
359,ON868523,VNM,cow,2017,O,Unknown,O/VIT/DT-P111-3/2017_pro,oropharyngeal fluid (probang sample)
360,ON868522,VNM,cow,2017,O,Unknown,O/VIT/DT-P115-4/2017_pro,oropharyngeal fluid (probang sample)
361,ON868521,VNM,pig,2018,O,Unknown,O/VIT/18-5822/2018,epithelial tissue
362,ON868520,VNM,cow,2017,O,Unknown,O/VIT/DT-P119-4/2017_pro,oropharyngeal fluid (probang sample)
363,ON868519,VNM,cow,2017,O,Unknown,O/VIT/DT-P115-3/2017_pro,oropharyngeal fluid (probang sample)
364,ON557390,ZMB,cow,2015,SAT3,Unknown,ZAM/3/2015,Unknown
365,OP751924,IDN,cattle,2022,Unknown,Unknown,VSN LPG002 2022,body fluid
366,ON784047,UGA,cow,2015,O,Unknown,V04667,cell culture supernatant
367,ON784046,UGA,cow,2015,O,Unknown,V04666,cell culture supernatant
368,ON784045,UGA,cow,2015,O,Unknown,V04665,cell culture supernatant
369,ON736860,UGA,cow,2015,O,Unknown,ALB _F2_004_P,cell culture supernatant
370,OM863584,SDN,cattle,2013,SAT2,Unknown,SUD/3/2013,Unknown
371,OM863583,KEN,cattle,2013,SAT1,Unknown,KEN/4/2013,Unknown
372,OM863582,KEN,cattle,2010,SAT1,Unknown,KEN/80/2010,Unknown
373,OM863581,KEN,cattle,2012,A,Unknown,KEN/5/2012,Unknown
374,OM863580,EGY,cattle,2012,A,Unknown,EGY/18/2012,Unknown
375,LC729872,THA,pig,2016,O,Unknown,O/TAI/317-3/2016,Unknown
376,LC729871,THA,cow,2016,O,Unknown,O/TAI/315/2016,Unknown
377,LC729870,THA,cow,2016,O,Unknown,O/TAI/269-2/2016,Unknown
378,OP585403,IDN,cattle,2022,O,Unknown,ISA/1/2022,Unknown
379,OM160625,DZA,sheep,2015,Unknown,O/ALG/1/2015,Unknown,vesicular epithelium
380,OM160624,DZA,cattle,2014,Unknown,O/ALG/5/2014,Unknown,tissue debris
381,OM160623,DZA,cattle,2014,Unknown,O/ALG/3/2014,Unknown,vesicular epithelium
382,OM160622,DZA,cattle,2014,Unknown,O/ALG/2/2014,Unknown,vesicular epithelium
383,OM160621,DZA,cattle,2014,Unknown,O/ALG/1/2014,Unknown,vesicular epithelium
384,OM160620,TUN,cattle,2014,Unknown,O/TUN/14/2014,Unknown,vesicular epithelium
385,OM160619,TUN,cattle,2014,Unknown,O/TUN/13/2014,Unknown,vesicular epithelium
386,OM160618,TUN,cattle,2014,Unknown,O/TUN/12/2014,Unknown,vesicular epithelium
387,OM160617,TUN,cattle,2014,Unknown,O/TUN/11/2014,Unknown,vesicular epithelium
388,OM160616,TUN,cattle,2014,Unknown,O/TUN/10/2014,Unknown,vesicular epithelium
389,OM160615,TUN,cattle,2014,Unknown,O/TUN/9/2014,Unknown,vesicular epithelium
390,OM160614,TUN,cattle,2014,Unknown,O/TUN/8/2014,Unknown,vesicular epithelium
391,OM160613,TUN,cattle,2014,Unknown,O/TUN/7/2014,Unknown,vesicular epithelium
392,OM160612,TUN,cattle,2014,Unknown,O/TUN/6/2014,Unknown,vesicular epithelium
393,OM160611,TUN,cattle,2014,Unknown,O/TUN/5/2014,Unknown,vesicular epithelium
394,OM160610,TUN,cattle,2014,Unknown,O/TUN/3/2014,Unknown,vesicular epithelium
395,OK318551,VNM,cattle,2016,Unknown,Unknown,O/VIT/F16-09/2016,Unknown
396,OK318550,VNM,cattle,2017,Unknown,Unknown,O/VIT/DL-P44-1/2017_pro,Unknown
397,OK318549,VNM,cattle,2017,Unknown,Unknown,O/VIT/DL-P24-1/2017_pro,Unknown
398,OK318548,VNM,buffalo,2017,Unknown,Unknown,O/VIT/BK4-P5/2017_pro,Unknown
399,OK318547,VNM,cattle,2017,Unknown,Unknown,O/VIT/BK3-P158/2017_pro,Unknown
400,OK318546,VNM,buffalo,2017,Unknown,Unknown,O/VIT/1BK-P249/2017_pro,Unknown
401,OK318545,VNM,cattle,2018,Unknown,Unknown,O/VIT/DT-P-108-2/2018_pro,Unknown
402,OK318544,VNM,cattle,2018,Unknown,Unknown,O/VIT/DT-P-69-2/2018_pro,Unknown
403,OK318543,VNM,pig,2019,Unknown,Unknown,O/VIT/19F17/2019,Unknown
404,OK318542,VNM,pig,2019,Unknown,Unknown,O/VIT/19F14/2019,Unknown
405,OK318541,VNM,pig,2019,Unknown,Unknown,O/VIT/19-2266/2019,Unknown
406,OK318540,VNM,pig,2019,Unknown,Unknown,O/VIT/19-2259/2019,Unknown
407,OK318539,VNM,pig,2019,Unknown,Unknown,O/VIT/19-2248-A/2019,Unknown
408,OK318538,VNM,pig,2019,Unknown,Unknown,O/VIT/19-1857/2019,Unknown
409,OK318537,VNM,pig,2019,Unknown,Unknown,O/VIT/19-1438/2019,Unknown
410,OK318536,VNM,cattle,2018,Unknown,Unknown,O/VIT/19-728/2019,Unknown
411,OK318535,VNM,pig,2019,Unknown,Unknown,O/VIT/19-005/2019,Unknown
412,OK318534,VNM,pig,2019,Unknown,Unknown,O/VIT/19-01.01/2019,Unknown
413,OK318533,VNM,pig,2019,Unknown,Unknown,O/VIT/19-001/2019,Unknown
414,OK318532,VNM,pig,2018,Unknown,Unknown,O/VIT/18F291/2018,Unknown
415,OK318531,VNM,pig,2018,Unknown,Unknown,O/VIT/18F281/2018,Unknown
416,OK318530,VNM,pig,2018,Unknown,Unknown,O/VIT/18F277/2018,Unknown
417,OK318529,VNM,pig,2018,Unknown,Unknown,O/VIT/18F274/2018,Unknown
418,OK318528,VNM,pig,2018,Unknown,Unknown,O/VIT/18F268/2018,Unknown
419,OK318527,VNM,pig,2018,Unknown,Unknown,O/VIT/18F263/2018,Unknown
420,OK318526,VNM,buffalo,2018,Unknown,Unknown,O/VIT/18F258/2018,Unknown
421,OK318525,VNM,pig,2018,Unknown,Unknown,O/VIT/18F223/2018,Unknown
422,OK318524,VNM,pig,2018,Unknown,Unknown,O/VIT/18F219/2018,Unknown
423,OK318523,VNM,pig,2018,Unknown,Unknown,O/VIT/18F207/2018,Unknown
424,OK318522,VNM,pig,2018,Unknown,Unknown,O/VIT/18CD-1987.1/2018,Unknown
425,OK318521,VNM,pig,2018,Unknown,Unknown,O/VIT/18CD-1610.2/2018,Unknown
426,OK318520,VNM,pig,2018,Unknown,Unknown,O/VIT/18-28811/2018,Unknown
427,OK318519,VNM,cattle,2018,Unknown,Unknown,O/VIT/18-23392/2018,Unknown
428,OK318518,VNM,goat,2018,Unknown,Unknown,O/VIT/18-22002/2018,Unknown
429,OK318517,VNM,cattle,2018,Unknown,Unknown,O/VIT/18-13553/2018,Unknown
430,OK318516,VNM,cattle,2018,Unknown,Unknown,O/VIT/18-8353/2018,Unknown
431,OK318515,VNM,pig,2018,Unknown,Unknown,O/VIT/18-5490/2018,Unknown
432,OK318514,VNM,cattle,2018,Unknown,Unknown,O/VIT/18-5482/2018,Unknown
433,OK318513,VNM,pig,2018,Unknown,Unknown,O/VIT/18-3766/2018,Unknown
434,OK318512,VNM,pig,2018,Unknown,Unknown,O/VIT/18-999/2018,Unknown
435,OK318511,VNM,pig,2018,Unknown,Unknown,O/VIT/02.CD/2018,Unknown
436,OK318510,VNM,cattle,2019,Unknown,Unknown,A/VIT/TNP04-029/2019_pro,Unknown
437,OK318509,VNM,cattle,2019,Unknown,Unknown,A/VIT/LAP04-12/2019_pro,Unknown
438,OK318508,VNM,cattle,2019,Unknown,Unknown,A/VIT/LAP04-11/2019_pro,Unknown
439,OK318507,VNM,cattle,2019,Unknown,Unknown,A/VIT/LAP03-06/2019_pro,Unknown
440,OK318506,VNM,cattle,2019,Unknown,Unknown,A/VIT/LAP03-05/2019_pro,Unknown
441,OK318505,VNM,cattle,2019,Unknown,Unknown,A/VIT/DT-P83-4/2019_pro,Unknown
442,OK318504,VNM,cattle,2019,Unknown,Unknown,A/VIT/DT-P-76-3/2019_pro,Unknown
443,OK318503,VNM,cattle,2019,Unknown,Unknown,A/VIT/DT-P73-4/2019_pro,Unknown
444,OK318502,VNM,cattle,2019,Unknown,Unknown,A/VIT/DT-P-73-3/2019_pro,Unknown
445,OK318501,VNM,cattle,2019,Unknown,Unknown,A/VIT/DT-P21-4/2019_pro,Unknown
446,OK318500,VNM,cattle,2017,Unknown,Unknown,A/VIT/DL-P087-1/2017_pro,Unknown
447,OK318499,VNM,cattle,2016,Unknown,Unknown,A/VIT/16-20280/2016,Unknown
448,OK205907,VNM,cattle,2014,Unknown,Unknown,A/VIT/RAHO6F5/2014,Unknown
449,OK205906,VNM,cattle,2013,Unknown,Unknown,A/VIT/RAHO6F3/2013,Unknown
450,OK205905,VNM,cattle,2014,Unknown,Unknown,A/VIT/RAHO6F2/2014,Unknown
451,OK205904,VNM,cattle,2014,Unknown,Unknown,A/VIT/NCVDF1422/2014,Unknown
452,OK205903,VNM,pig,2014,Unknown,Unknown,A/VIT/NCVDF1413/2014,Unknown
453,OK205902,VNM,cattle,2014,Unknown,Unknown,A/VIT/NCVDF1404/2014,Unknown
454,OK205901,VNM,buffalo,2014,Unknown,Unknown,A/VIT/NCVDF1402/2014,Unknown
455,OK205900,VNM,cattle,2015,Unknown,Unknown,A/VIT/17208/2015,Unknown
456,OK205899,VNM,cattle,2015,Unknown,Unknown,A/VIT/16705/2015,Unknown
457,OK205898,VNM,cattle,2013,Unknown,Unknown,A/VIT/16478XL15/2013,Unknown
458,OK205897,VNM,pig,2015,Unknown,Unknown,A/VIT/16451DLBPP01/2015,Unknown
459,OK205896,VNM,cattle,2014,Unknown,Unknown,A/VIT/8506/2014,Unknown
460,OK205895,VNM,cattle,2014,Unknown,Unknown,A/VIT/6415/2014,Unknown
461,OK205894,VNM,buffalo,2014,Unknown,Unknown,A/VIT/1402/2014,Unknown
462,OK205893,VNM,cattle,2013,Unknown,Unknown,A/VIT/205/2013,Unknown
463,OM456150,PAK,buffalo,2010,Unknown,Unknown,O/PAK/SHL/16/2010,Unknown
464,OM456149,PAK,cattle,2012,Unknown,Unknown,O/PAK/SGD/176/2012,Unknown
465,OM456148,PAK,buffalo,2012,Unknown,Unknown,O/PAK/SGD/168/2012,Unknown
466,OM456147,PAK,cattle,2011,Unknown,Unknown,O/PAK/SGD/19/2011,Unknown
467,OM456146,PAK,cattle,2010,Unknown,Unknown,O/PAK/SGD/18/2010,Unknown
468,OM456145,PAK,buffalo,2010,Unknown,Unknown,O/PAK/SGD/17/2010,Unknown
469,OM456144,PAK,cattle,2010,Unknown,Unknown,O/PAK/SGD/9/2010,Unknown
470,OM456143,PAK,buffalo,2012,Unknown,Unknown,O/PAK/NSH/1/2012,Unknown
471,OM456142,PAK,buffalo,2011,Unknown,Unknown,O/PAK/KCH/41/2011,Unknown
472,OM456141,PAK,buffalo,2011,Unknown,Unknown,O/PAK/KCH/39/2011,Unknown
473,OM456140,PAK,buffalo,2011,Unknown,Unknown,O/PAK/KCH/38/2011,Unknown
474,OM456139,PAK,buffalo,2011,Unknown,Unknown,O/PAK/KCH/34/2011,Unknown
475,OM456138,PAK,buffalo,2009,Unknown,Unknown,O/PAK/KCH/4/2009,Unknown
476,OM456137,PAK,cattle,2012,Unknown,Unknown,O/PAK/JHG/6/2012,Unknown
477,OM456136,PAK,buffalo,2012,Unknown,Unknown,O/PAK/ICT/254/2012,Unknown
478,OM456135,PAK,cattle,2012,Unknown,Unknown,O/PAK/FSD/263/2012,Unknown
479,OM456134,PAK,cattle,2012,Unknown,Unknown,O/PAK/FSD/262/2012,Unknown
480,OM456133,PAK,cattle,2012,Unknown,Unknown,O/PAK/CKL/274/2012,Unknown
481,OM456132,PAK,buffalo,2012,Unknown,Unknown,O/PAK/ICT/272-1/2012_pro,Unknown
482,OM456131,PAK,buffalo,2012,Unknown,Unknown,O/PAK/ICT/245-1/2012_pro,Unknown
483,OM456130,PAK,buffalo,2012,Unknown,Unknown,O/PAK/ICT/166-1/2012_pro,Unknown
484,OM456129,PAK,buffalo,2012,Unknown,Unknown,O/PAK/ICT/161-2/2012_pro,Unknown
485,OM456128,PAK,buffalo,2012,Unknown,Unknown,O/PAK/ICT/161-1/2012_pro,Unknown
486,OM455484,PAK,buffalo,2012,Unknown,Unknown,A/PAK/SGD/12/2012,Unknown
487,OM455483,PAK,cattle,2012,Unknown,Unknown,A/PAK/PSH/34/2012,Unknown
488,OM455482,PAK,cattle,2009,Unknown,Unknown,A/PAK/KCH/7/2009,Unknown
489,OM455481,PAK,buffalo,2012,Unknown,Unknown,A/PAK/ICT/276/2012,Unknown
490,OM455480,PAK,cattle,2008,Unknown,Unknown,A/PAK/ICT/1/2008,Unknown
491,OM455479,PAK,cattle,2012,Unknown,Unknown,A/PAK/FSD/4/2012,Unknown
492,OM455478,PAK,buffalo,2012,Unknown,Unknown,A/PAK/ICT/238-1/2012_pro,Unknown
493,OM455477,PAK,buffalo,2012,Unknown,Unknown,A/PAK/ICT/237-1/2012_pro,Unknown
494,OM455476,PAK,buffalo,2012,Unknown,Unknown,A/PAK/ICT/231-1/2012_pro,Unknown
495,OM455475,PAK,buffalo,2012,Unknown,Unknown,A/PAK/ICT/229-1/2012_pro,Unknown
496,OM455474,PAK,buffalo,2012,Unknown,Unknown,A/PAK/ICT/208-1/2012_pro,Unknown
497,OM455473,PAK,buffalo,2012,Unknown,Unknown,A/PAK/ICT/177-4/2012_pro,Unknown
498,OM455472,PAK,buffalo,2012,Unknown,Unknown,A/PAK/ICT/170-1/2012_pro,Unknown
499,OM455471,PAK,buffalo,2012,Unknown,Unknown,A/PAK/ICT/168-3/2012_pro,Unknown
500,OM455470,PAK,buffalo,2012,Unknown,Unknown,A/PAK/ICT/168-2/2012_pro,Unknown
501,OM455469,PAK,buffalo,2012,Unknown,Unknown,A/PAK/ICT/149-4/2012_pro,Unknown
502,OM455468,PAK,buffalo,2012,Unknown,Unknown,A/PAK/ICT/131-4/2012_pro,Unknown
