GBAC,country,host,collection_date,serotype,Topotype,lineage,color,pool
FJ542368/GBR/cattle/2001/O,GBR,cattle,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#EFEFA2,Unknown
FJ542369/GBR/sheep/2001/O,GBR,sheep,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F0F0A4,Unknown
FJ542370/GBR/cattle/2001/O,GBR,cattle,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F0F0A5,Unknown
FJ542371/GBR/cattle/2001/O,GBR,cattle,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F0F0A3,Unknown
FJ542372/GBR/cattle/2001/O,GBR,cattle,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F1F1A6,Unknown
FJ623456/KAZ/Unknown/1999/A,KAZ,Unknown,1999,A,ASIA,A22,#9D98BF,Pool3
FJ906802/CHN/pig/2006/Asia1,CHN,pig,2006,Asia1,ASIA,,#479C8F,Pool1
GQ406247/VNM/cattle/2009/A,VNM,cattle,2009,A,ASIA,Sea-97,#B8B3D6,Pool1
GQ406248/VNM/cattle/2009/A,VNM,cattle,2009,A,ASIA,Sea-97,#B7B3D6,Pool1
GQ406249/VNM/cattle/2009/A,VNM,cattle,2009,A,ASIA,Sea-97,#B8B4D7,Pool1
GQ406250/VNM/cattle/2009/A,VNM,cattle,2009,A,ASIA,Sea-97,#B7B2D6,Pool1
GQ406251/VNM/pig/2009/A,VNM,pig,2009,A,ASIA,Sea-97,#B9B4D8,Pool1
GQ406252/VNM/buffalo/2009/A,VNM,buffalo,2009,A,ASIA,Sea-97,#B9B4D7,Pool1
GQ452295/VNM/cattle/2007/Asia1,VNM,cattle,2007,Asia1,ASIA,,#489D90,Pool1
GU125645/VNM/cattle/2007/Asia1,VNM,cattle,2007,Asia1,ASIA,,#499D91,Pool1
GU125646/VNM/buffalo/2005/Asia1,VNM,buffalo,2005,Asia1,ASIA,,#3F9589,Pool1
GU125647/VNM/cattle/2006/O,VNM,cattle,2006,O,SOUTHEAST-ASIA-SEA,Mya-98,#BEBE29,Pool1
GU125648/VNM/buffalo/2006/O,VNM,buffalo,2006,O,SOUTHEAST-ASIA-SEA,Mya-98,#BEBE29,Pool1
GU125649/VNM/cattle/2006/O,VNM,cattle,2006,O,SOUTHEAST-ASIA-SEA,Mya-98,#BEBE29,Pool1
GU125650/VNM/cattle/2006/O,VNM,cattle,2006,O,SOUTHEAST-ASIA-SEA,Mya-98,#BEBE29,Pool1
GU384682/PAK/cattle/2008/O,PAK,cattle,2008,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#DFDF7B,Pool3
GU384683/PAK/buffalo/2008/O,PAK,buffalo,2008,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#DFDF7B,Pool3
GU582115/VNM/Unknown/2009/O,VNM,Unknown,2009,O,SOUTHEAST-ASIA-SEA,Mya-98,#BFBF2C,Pool1
GU582116/VNM/Unknown/2009/O,VNM,Unknown,2009,O,SOUTHEAST-ASIA-SEA,Mya-98,#BFBF2B,Pool1
GU931682/CHN/cow/2005/Asia1,CHN,cow,2005,Asia1,ASIA,,#4A9F92,Pool1
HM008917/CHN/pig/2005/O,CHN,pig,2005,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#ECEC9A,Pool1
HM055510/VNM/Unknown/2009/O,VNM,Unknown,2009,O,SOUTHEAST-ASIA-SEA,,#C1C12F,Pool1
HM067704/UGA/african-buffalo/2007/SAT2,UGA,african-buffalo,2007,SAT2,X,,#D13A05,Pool4
HM067705/UGA/african-buffalo/2007/SAT2,UGA,african-buffalo,2007,SAT2,X,,#D23B07,Pool4
HM067706/UGA/african-buffalo/2007/SAT1,UGA,african-buffalo,2007,SAT1,IV-EAST-AFRICA1-EA-1,,#C78A27,Pool4
HM191257/UGA/cow/2006/O,UGA,cow,2006,O,EAST-AFRICA-2-EA-2,,#BABA1F,Pool4
HM229661/HKG/pig/2010/O,HKG,pig,2010,O,SOUTHEAST-ASIA-SEA,,#C1C12F,Pool1
HQ009509/CHN/pig/1999/O,CHN,pig,1999,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#ECEC9A,Pool1
HQ113232/PAK/cow/2009/O,PAK,cow,2009,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#E0E07B,Pool3
HQ113233/AFG/cow/2009/Asia1,AFG,cow,2009,Asia1,ASIA,,#5AAC9F,Pool3
HQ268509/VNM/Unknown/2004/A,VNM,Unknown,2004,A,ASIA,Sea-97,#B4B0D4,Pool1
HQ268524/BTN/Unknown/2004/O,BTN,Unknown,2004,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#DFDF7A,Pool2
HQ631363/CHN/pig/2006/Asia1,CHN,pig,2006,Asia1,ASIA,,#469B8F,Pool1
HQ632768/MYS/pig/2000/O,MYS,pig,2000,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#EFEFA0,Pool1
HQ632769/MYS/cattle/2001/O,MYS,cattle,2001,O,SOUTHEAST-ASIA-SEA,Cam-94,#BEBE28,Pool1
HQ632770/MYS/cattle/2004/O,MYS,cattle,2004,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#DFDF7A,Pool1
HQ632771/MYS/pig/2005/O,MYS,pig,2005,O,CATHAY,,#B7B717,Pool1
HQ632772/MYS/cattle/2007/O,MYS,cattle,2007,O,SOUTHEAST-ASIA-SEA,Mya-98,#BFBF2A,Pool1
HQ632773/MYS/cattle/2007/A,MYS,cattle,2007,A,ASIA,Sea-97,#B6B1D5,Pool1
HQ632774/MYS/cattle/1999/Asia1,MYS,cattle,1999,Asia1,ASIA,,#3E9588,Pool1
HQ832577/IND/Unknown/1999/A,IND,Unknown,1999,A,ASIA,,#A39EC5,Pool2
HQ832578/IND/Unknown/2003/A,IND,Unknown,2003,A,ASIA,,#A39EC4,Pool2
HQ832579/IND/buffalo/2003/A,IND,buffalo,2003,A,ASIA,,#A39EC4,Pool2
HQ832580/IND/cattle/2003/A,IND,cattle,2003,A,ASIA,,#A29DC4,Pool2
HQ832581/IND/cattle/2004/A,IND,cattle,2004,A,ASIA,,#A29DC3,Pool2
HQ832582/IND/buffalo/2004/A,IND,buffalo,2004,A,ASIA,,#A29CC3,Pool2
HQ832583/IND/Unknown/2005/A,IND,Unknown,2005,A,ASIA,,#A29DC3,Pool2
HQ832584/IND/cattle/2005/A,IND,cattle,2005,A,ASIA,,#A09AC1,Pool2
HQ832585/IND/Unknown/2005/A,IND,Unknown,2005,A,ASIA,,#9F9AC1,Pool2
HQ832586/IND/Unknown/2006/A,IND,Unknown,2006,A,ASIA,,#9F9AC1,Pool2
HQ832588/IND/cattle/2005/A,IND,cattle,2005,A,ASIA,,#9F9AC0,Pool2
HQ832589/IND/cattle/2006/A,IND,cattle,2006,A,ASIA,,#9F99C0,Pool2
HQ832590/IND/cattle/2007/A,IND,cattle,2007,A,ASIA,,#A19CC3,Pool2
HQ832591/IND/cattle/2008/A,IND,cattle,2008,A,ASIA,,#A19CC2,Pool2
HQ832592/IND/cattle/2009/A,IND,cattle,2009,A,ASIA,,#A19CC2,Pool2
JF749841/Unknown/Unknown/2006/A,TUR,Unknown,2006,A,ASIA,Iran-05,#ACA7CC,Pool3
JF749843/Unknown/Unknown/2006/A,EGY,Unknown,2006,A,AFRICA,,#827CA7,Pool3/Pool4
JF749848/Unknown/Unknown/2003/A,TUR,Unknown,2003,A,ASIA,,#9E99C0,Pool3
JF749849/Unknown/Unknown/2002/Asia1,PAK,Unknown,2002,Asia1,ASIA,,#5AAB9F,Pool3
JF749851/Unknown/Unknown/2001/O,IRN,Unknown,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#ECEC9A,Pool3
JF749852/Unknown/Unknown/2004/O,,Unknown,2004,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#DFDF7A,Unknown
JF749860/Unknown/Unknown/2002/SAT1,KEN,Unknown,2002,SAT1,I-NORTHWEST-ZIMBABWE-NWZ,,#CE9235,Pool4
JF749861/Unknown/Unknown/2002/SAT2,KEN,Unknown,2002,SAT2,IV,,#DD572F,Pool4
JF749862/Unknown/Unknown/2002/SAT2,,Unknown,2002,SAT2,X,,#D13B06,Unknown
JF749864/Unknown/Unknown/2003/SAT2,,Unknown,2003,SAT2,I,,#DA5025,Unknown
JN006719/Unknown/Unknown/2008/Asia1,,Unknown,2008,Asia1,ASIA,,#64B4A7,Unknown
JN006720/Unknown/Unknown/2009/Asia1,,Unknown,2009,Asia1,ASIA,,#63B3A7,Unknown
JN006722/Unknown/Unknown/2008/A,,Unknown,2008,A,ASIA,Iran-05,#AAA5CA,Unknown
JN099688/IRQ/cattle/2009/A,IRQ,cattle,2009,A,ASIA,Iran-05,#AFAACE,Pool3
JN099694/IRQ/cattle/2009/A,IRQ,cattle,2009,A,ASIA,Iran-05,#AEA9CE,Pool3
JN099697/IRQ/cattle/2009/A,IRQ,cattle,2009,A,ASIA,Iran-05,#AEA9CD,Pool3
JN099698/IRQ/cattle/2009/A,IRQ,cattle,2009,A,ASIA,Iran-05,#ADA8CD,Pool3
JN099699/IRQ/cattle/2009/A,IRQ,cattle,2009,A,ASIA,Iran-05,#ADA8CD,Pool3
JN998085/CHN/pig/2010/O,CHN,pig,2010,O,SOUTHEAST-ASIA-SEA,,#C7C73F,Pool1
JN998086/CHN/cattle/2010/O,CHN,cattle,2010,O,SOUTHEAST-ASIA-SEA,,#C1C12F,Pool1
JQ900581/CHN/pig/2010/O,CHN,pig,2010,O,SOUTHEAST-ASIA-SEA,,#C1C12F,Pool1
JQ973889/CHN/cow/2010/O,CHN,cow,2010,O,SOUTHEAST-ASIA-SEA,,#C1C130,Pool1
JX014255/EGY/Unknown/2012/SAT2,EGY,Unknown,2012,SAT2,VII,,#D33F0D,Pool3/Pool4
JX014256/PSE/cattle/2012/SAT2,PSE,cattle,2012,SAT2,VII,,#D33F0C,Pool3
JX040485/BGR/pig/2010/O,BGR,pig,2010,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#E4E485,Unknown
JX040486/BGR/cattle/2011/O,BGR,cattle,2011,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#E4E486,Unknown
JX040487/BGR/cattle/2011/O,BGR,cattle,2011,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#E4E487,Unknown
JX040488/BGR/cattle/2011/O,BGR,cattle,2011,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#E4E487,Unknown
JX040489/BGR/cattle/2011/O,BGR,cattle,2011,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#E4E487,Unknown
JX040490/BGR/cattle/2011/O,BGR,cattle,2011,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#E4E486,Unknown
JX040491/TUR/cattle/2010/O,TUR,cattle,2010,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#E3E384,Pool3
JX040492/TUR/cattle/2010/O,TUR,cattle,2010,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#E3E383,Pool3
JX040493/TUR/cattle/2010/O,TUR,cattle,2010,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#E3E384,Pool3
JX040494/TUR/cattle/2010/O,TUR,cattle,2010,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#E3E384,Pool3
JX040495/TUR/cattle/2010/O,TUR,cattle,2010,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#E3E383,Pool3
JX040496/TUR/cattle/2010/O,TUR,cattle,2010,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#E4E485,Pool3
JX040497/TUR/cattle/2010/O,TUR,cattle,2010,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#E3E384,Pool3
JX040498/TUR/cattle/2010/O,TUR,cattle,2010,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#E3E383,Pool3
JX040499/TUR/cattle/2011/O,TUR,cattle,2011,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#E4E485,Pool3
JX040500/TUR/cattle/2011/O,TUR,cattle,2011,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#E3E385,Pool3
JX040501/ISR/cattle/2011/O,ISR,cattle,2011,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#E2E282,Pool3
JX066664/BGR/cattle/2011/O,BGR,cattle,2011,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#E4E486,Unknown
JX066665/BGR/cattle/2011/O,BGR,cattle,2011,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#E4E486,Unknown
JX570638/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B2B20B,Unknown
JX570639/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B2B20A,Unknown
JX570640/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B2B20A,Unknown
JX570641/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B2B20A,Unknown
JX570642/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B1B109,Unknown
JX570643/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B2B20B,Unknown
JX570644/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B1B109,Unknown
JX570645/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B1B108,Unknown
JX570646/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B2B209,Unknown
JX570647/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B1B109,Unknown
JX570648/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B0B006,Unknown
JX570649/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B2B20A,Unknown
JX570650/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B1B108,Unknown
JX570651/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B1B107,Unknown
JX570652/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B1B107,Unknown
JX570653/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B1B108,Unknown
JX570654/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B1B107,Unknown
JX570655/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B1B108,Unknown
JX869177/GBR/cattle/1967/O,GBR,cattle,1967,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#AFAF02,Unknown
JX869178/GBR/cattle/1967/O,GBR,cattle,1967,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#AFAF02,Unknown
JX869179/GBR/cattle/1967/O,GBR,cattle,1967,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#AFAF04,Unknown
JX869180/GBR/cattle/1967/O,GBR,cattle,1967,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#AFAF04,Unknown
JX869181/GBR/cattle/1967/O,GBR,cattle,1967,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B0B005,Unknown
JX869182/GBR/cattle/1968/O,GBR,cattle,1968,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#AFAF03,Unknown
JX869183/GBR/cattle/1968/O,GBR,cattle,1968,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B0B005,Unknown
JX869184/GBR/cattle/1968/O,GBR,cattle,1968,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B0B005,Unknown
JX869185/GBR/cattle/1968/O,GBR,cattle,1968,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B0B005,Unknown
JX869186/GBR/cattle/1968/O,GBR,cattle,1968,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B0B006,Unknown
JX869187/GBR/cattle/1968/O,GBR,cattle,1968,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B0B004,Unknown
JX869188/GBR/sheep/1968/O,GBR,sheep,1968,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#AFAF04,Unknown
KC412634/CHN/pig/2006/Asia1,CHN,pig,2006,Asia1,ASIA,,#4CA093,Pool1
KC440881/EGY/Unknown/2011/A,EGY,Unknown,2011,A,AFRICA,,#8580AA,Pool3/Pool4
KC440882/EGY/Unknown/2012/A,EGY,Unknown,2012,A,ASIA,Iran-05,#ADA8CD,Pool3/Pool4
KC440883/EGY/Unknown/2011/O,EGY,Unknown,2011,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#E6E68A,Pool3/Pool4
KC440884/EGY/Unknown/2012/SAT2,EGY,Unknown,2012,SAT2,VII,,#D23D0A,Pool3/Pool4
KC462884/CHN/pig/2006/Asia1,CHN,pig,2006,Asia1,ASIA,,#4DA194,Pool1
KC588943/KOR/cattle/2010/A,KOR,cattle,2010,A,ASIA,Sea-97,#B6B2D5,Pool1
KF112879/THA/pig/2009/O,THA,pig,2009,O,SOUTHEAST-ASIA-SEA,,#C0C02E,Pool1
KF112880/MMR/cattle/2009/O,MMR,cattle,2009,O,SOUTHEAST-ASIA-SEA,,#C1C12E,Pool1
KF112881/MNG/cattle/2010/O,MNG,cattle,2010,O,SOUTHEAST-ASIA-SEA,Mya-98,#C0C02C,Pool1
KF112882/MNG/cattle/2010/O,MNG,cattle,2010,O,SOUTHEAST-ASIA-SEA,Mya-98,#C0C02C,Pool1
KF112883/RUS/pig/2010/O,RUS,pig,2010,O,SOUTHEAST-ASIA-SEA,,#C8C840,Pool1/Pool3
KF112884/RUS/cattle/2010/O,RUS,cattle,2010,O,SOUTHEAST-ASIA-SEA,Mya-98,#C0C02C,Pool1/Pool3
KF112885/JPN/cattle/2010/O,JPN,cattle,2010,O,SOUTHEAST-ASIA-SEA,,#CECE51,Unknown
KF112886/KOR/cattle/2010/O,KOR,cattle,2010,O,SOUTHEAST-ASIA-SEA,,#C1C130,Pool1
KF112887/KOR/pig/2010/O,KOR,pig,2010,O,SOUTHEAST-ASIA-SEA,,#C7C73F,Pool1
KF112888/KOR/cattle/2011/O,KOR,cattle,2011,O,SOUTHEAST-ASIA-SEA,,#C7C740,Pool1
KF112889/HKG/pig/2010/O,HKG,pig,2010,O,SOUTHEAST-ASIA-SEA,,#C1C130,Pool1
KF694731/KOR/pig/2002/O,KOR,pig,2002,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#EEEE9E,Pool1
KF694732/KOR/pig/2002/O,KOR,pig,2002,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#EDED9B,Pool1
KF694733/KOR/pig/2002/O,KOR,pig,2002,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#EEEE9E,Pool1
KF694734/KOR/pig/2002/O,KOR,pig,2002,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#EEEE9E,Pool1
KF694735/KOR/pig/2002/O,KOR,pig,2002,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#EDED9D,Pool1
KF694736/KOR/pig/2002/O,KOR,pig,2002,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#EDED9D,Pool1
KF694737/KOR/pig/2002/O,KOR,pig,2002,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#EDED9B,Pool1
KF694738/KOR/pig/2002/O,KOR,pig,2002,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#ECEC9B,Pool1
KF694739/KOR/pig/2002/O,KOR,pig,2002,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#EDED9C,Pool1
KF694740/KOR/pig/2002/O,KOR,pig,2002,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#EDED9D,Pool1
KF694741/KOR/pig/2002/O,KOR,pig,2002,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#EDED9C,Pool1
KF694742/KOR/pig/2002/O,KOR,pig,2002,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#EEEE9F,Pool1
KF694743/KOR/pig/2002/O,KOR,pig,2002,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#EEEE9E,Pool1
KF694744/KOR/cow/2002/O,KOR,cow,2002,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#EDED9C,Pool1
KF694745/KOR/pig/2002/O,KOR,pig,2002,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#EDED9D,Pool1
KF694746/KOR/pig/2002/O,KOR,pig,2002,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#EEEE9F,Pool1
KF985189/BGD/cattle/2013/O,BGD,cattle,2013,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,#D3D35B,Pool2
KJ206908/BTN/cattle/2013/O,BTN,cattle,2013,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,#DBDB6F,Pool2
KJ206909/LBY/cattle/2013/O,LBY,cattle,2013,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,#D9D96A,Pool3/Pool4
KJ206910/SAU/cattle/2013/O,SAU,cattle,2013,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,#D8D869,Pool3
KJ560276/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B3B30D,Unknown
KJ560277/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B2B20C,Unknown
KJ560278/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B3B30C,Unknown
KJ560279/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B3B30C,Unknown
KJ560280/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B3B30E,Unknown
KJ560281/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B6B614,Unknown
KJ560282/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B2B20B,Unknown
KJ560283/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B2B20B,Unknown
KJ560284/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B3B30D,Unknown
KJ560285/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B6B614,Unknown
KJ560286/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B3B30E,Unknown
KJ560287/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B3B30E,Unknown
KJ560288/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B6B614,Unknown
KJ560289/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B5B512,Unknown
KJ560290/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B6B615,Unknown
KJ560291/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B7B716,Unknown
KJ560292/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B5B511,Unknown
KJ560293/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B6B614,Unknown
KJ560294/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B6B615,Unknown
KJ560295/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B4B40F,Unknown
KJ560296/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B4B410,Unknown
KJ560297/GBR/sheep/2007/O,GBR,sheep,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B4B410,Unknown
KJ560298/GBR/sheep/2007/O,GBR,sheep,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B4B40F,Unknown
KJ560299/GBR/sheep/2007/O,GBR,sheep,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B5B513,Unknown
KJ560300/GBR/sheep/2007/O,GBR,sheep,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B4B410,Unknown
KJ560301/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B5B511,Unknown
KJ560302/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B5B512,Unknown
KJ560303/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B5B513,Unknown
KJ560304/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B5B513,Unknown
KJ560305/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B6B615,Unknown
KJ560306/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B7B716,Unknown
KJ560307/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B4B411,Unknown
KJ560308/GBR/cattle/2007/O,GBR,cattle,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B4B410,Unknown
