Genbank accession,Year,Country,Host,Isolate,Strain,Serotype,Topotype,Lineage,pool,Reference Title,Isolation source
MT944981,2016,IRN,dog,O/IRN/9/2016,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,"Foot-and-mouth disease virus infection in the domestic dog (Canis lupus familiaris), Iran",BTy1 (first passage on bovine thyroid cells)
MT602092,2017,KEN,cattle,KEN/19/2017,,SAT2,IV,,Pool4,A reference antigen panel for the quality control of foot-and-mouth disease vaccines used in East Africa,epithelium
MT602090,2015,ETH,cattle,ETH/16/2015,,SAT2,VII,,Pool4,A reference antigen panel for the quality control of foot-and-mouth disease vaccines used in East Africa,vesicular fluid
MT602089,2018,EGY,cattle,EGY/1/2018,,SAT2,VII,,Pool3/Pool4,A reference antigen panel for the quality control of foot-and-mouth disease vaccines used in East Africa,epithelium
MT602088,2014,TZA,cattle,TAN/22/2014,,SAT1,I-NORTHWEST-ZIMBABWE-NWZ,,Pool4,A reference antigen panel for the quality control of foot-and-mouth disease vaccines used in East Africa,epithelium
MT602087,2013,TZA,cattle,TAN/22/2013,,SAT1,I-NORTHWEST-ZIMBABWE-NWZ,,Pool4,A reference antigen panel for the quality control of foot-and-mouth disease vaccines used in East Africa,epithelium
MT602086,2012,TZA,cattle,TAN/27/2012,,SAT1,I-NORTHWEST-ZIMBABWE-NWZ,,Pool4,A reference antigen panel for the quality control of foot-and-mouth disease vaccines used in East Africa,epithelium
MT602085,2013,KEN,cattle,KEN/10/2013,,SAT1,I-NORTHWEST-ZIMBABWE-NWZ,,Pool4,A reference antigen panel for the quality control of foot-and-mouth disease vaccines used in East Africa,epithelium
MT602084,2018,KEN,cattle,KEN/4/2018,,O,EAST-AFRICA-2-EA-2,,Pool4,A reference antigen panel for the quality control of foot-and-mouth disease vaccines used in East Africa,epithelium
MT602081,2015,ETH,cattle,ETH/4/2015,,O,EAST-AFRICA-3-EA-3,,Pool4,A reference antigen panel for the quality control of foot-and-mouth disease vaccines used in East Africa,epithelium
MT602079,2018,SDN,cattle,SUD/9/2018,,A,AFRICA,,Pool4,A reference antigen panel for the quality control of foot-and-mouth disease vaccines used in East Africa,epithelium
MT602078,2019,ETH,cattle,ETH/19/2019,,A,AFRICA,,Pool4,A reference antigen panel for the quality control of foot-and-mouth disease vaccines used in East Africa,epithelium
MT602077,2018,ETH,cattle,ETH/2/2018,,A,AFRICA,,Pool4,A reference antigen panel for the quality control of foot-and-mouth disease vaccines used in East Africa,epithelium
MT863268,2016,EGY,water-buffalo,A/buffalo/Damietta/Egypt/2016,,A,AFRICA,,Pool3/Pool4,Sequence Analysis of Egyptian Foot-and-Mouth Disease Virus Field and Vaccine Strains: Intertypic Recombination and Evidence for Accidental Release of Virulent Virus,Not found
KY322680,2013,VNM,cattle,VIT/42/2013,,A,ASIA,Sea-97,Pool1,Genome sequencing of foot-and-mouth disease viruses from Southeast Asia and South Korea,Not found
KY322679,2014,THA,cattle,TAI/4/2014,,A,ASIA,Sea-97,Pool1,Genome sequencing of foot-and-mouth disease viruses from Southeast Asia and South Korea,Not found
KY322678,2013,MYS,cattle,MAY/23/2013,,A,ASIA,Sea-97,Pool1,Genome sequencing of foot-and-mouth disease viruses from Southeast Asia and South Korea,Not found
KY322677,2013,MYS,cattle,MAY/20/2013,,A,ASIA,Sea-97,Pool1,Genome sequencing of foot-and-mouth disease viruses from Southeast Asia and South Korea,Not found
KY322676,2013,MYS,cattle,MAY/12/2013,,A,ASIA,Sea-97,Pool1,Genome sequencing of foot-and-mouth disease viruses from Southeast Asia and South Korea,Not found
KY322675,2014,LAO,cattle,LAO/3/2014,,A,ASIA,Sea-97,Pool1,Genome sequencing of foot-and-mouth disease viruses from Southeast Asia and South Korea,Not found
KY322673,2014,MYS,cattle,MAY/8/2014,,O,SOUTHEAST-ASIA-SEA,Mya-98,Pool1,Genome sequencing of foot-and-mouth disease viruses from Southeast Asia and South Korea,Not found
KY322672,2014,MYS,cattle,MAY/3/2014,,O,SOUTHEAST-ASIA-SEA,,Pool1,Genome sequencing of foot-and-mouth disease viruses from Southeast Asia and South Korea,Not found
KY322671,2014,MYS,cattle,MAY/2/2014,,O,SOUTHEAST-ASIA-SEA,Mya-98,Pool1,Genome sequencing of foot-and-mouth disease viruses from Southeast Asia and South Korea,Not found
KY322670,2013,LAO,cattle,LAO/1/2013,,O,SOUTHEAST-ASIA-SEA,Mya-98,Pool1,Genome sequencing of foot-and-mouth disease viruses from Southeast Asia and South Korea,Not found
MN983158,2009,IND,cattle,O/IND/47/2009,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool2,Genome sequences of 7 foot-and-mouth disease virus isolates reveal diversity in the O/ME-SA/Ind2001 lineage in India between 1997-2009,Not found
MN983157,2009,IND,cattle,O/IND/35/2009,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001c,Pool2,Genome sequences of 7 foot-and-mouth disease virus isolates reveal diversity in the O/ME-SA/Ind2001 lineage in India between 1997-2009,Not found
MN983156,2008,IND,cattle,O/IND/433/2008,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool2,Genome sequences of 7 foot-and-mouth disease virus isolates reveal diversity in the O/ME-SA/Ind2001 lineage in India between 1997-2009,Not found
MN983155,2008,IND,cattle,O/IND/290/2008,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001b,Pool2,Genome sequences of 7 foot-and-mouth disease virus isolates reveal diversity in the O/ME-SA/Ind2001 lineage in India between 1997-2009,Not found
MN983154,2005,IND,cattle,O/IND/442/2005,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001b,Pool2,Genome sequences of 7 foot-and-mouth disease virus isolates reveal diversity in the O/ME-SA/Ind2001 lineage in India between 1997-2009,Not found
MN983153,2001,IND,cattle,O/IND/121/2001,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001b,Pool2,Genome sequences of 7 foot-and-mouth disease virus isolates reveal diversity in the O/ME-SA/Ind2001 lineage in India between 1997-2009,Not found
MN983152,1997,IND,cattle,O/IND/316/1997,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001a,Pool2,Genome sequences of 7 foot-and-mouth disease virus isolates reveal diversity in the O/ME-SA/Ind2001 lineage in India between 1997-2009,Not found
MN953620,2019,PAK,cattle,PAK/2/2019,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool3,Genome Sequences of Foot-and-Mouth Disease Virus O/ME-SA/Ind-2001e in Pakistan,Not found
MN953619,2019,PAK,cattle,PAK/1/2019,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool3,Genome Sequences of Foot-and-Mouth Disease Virus O/ME-SA/Ind-2001e in Pakistan,Not found
MN389541,2010,CHN,pig,,O/Mya98/JX/2010,O,SOUTHEAST-ASIA-SEA,,Pool1,Genetic Determinants of Altered Virulence of Type O Foot-and-Mouth Disease Virus,Not found
MK940253,2017,SAU,cattle,Saudi Arabia/Alkharj1/2017,,A,ASIA,,Pool3,"Serotype A Foot-and-Mouth Disease Virus from an Outbreak in Saudi Arabia, 2017",tongue tissue
MN062587,2009,PAK,cattle,,A/SIN/PAK/L693/2009,A,ASIA,Iran-05,Pool3,Evidence for multiple recombination events within foot-and-mouth disease viruses circulating in West Eurasia,Not found
MN062586,2009,AFG,cattle,,A/BAD/AFG/L2813/2009,A,ASIA,Iran-05,Pool3,Evidence for multiple recombination events within foot-and-mouth disease viruses circulating in West Eurasia,Not found
MN062585,2010,TUR,cattle,,O/TUR/1112/2010,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Evidence for multiple recombination events within foot-and-mouth disease viruses circulating in West Eurasia,Not found
MN062583,2009,PAK,cattle,,O/ISL/PAK/L1412/2009,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Evidence for multiple recombination events within foot-and-mouth disease viruses circulating in West Eurasia,Not found
MN062582,2009,PAK,buffalo,,O/PUN/PAK/L1370/2009,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Evidence for multiple recombination events within foot-and-mouth disease viruses circulating in West Eurasia,Not found
MN062580,2010,IRN,cattle,,O/KHO/IRN/L5/2010,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Evidence for multiple recombination events within foot-and-mouth disease viruses circulating in West Eurasia,Not found
MN062579,2010,IRN,cattle,,O/KHO/IRN/L1/2010,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Evidence for multiple recombination events within foot-and-mouth disease viruses circulating in West Eurasia,Not found
LC483874,2007,THA,cow,,SEA-97,A,ASIA,Sea-97,Pool1,Evolution antigenic and genetic characterization of foot-and-mouth disease virus serotype A circulating in Thailand between 2007-2019,Not found
MN250318,2019,VNM,pig,O/VIT/19-005/2019,,O,CATHAY,,Pool1,"Foot-and-mouth disease virus serotype O/CATHAY near full-length genomes from 5 outbreaks in Vietnam, 2017-2019",Not found
MN250317,2018,VNM,pig,O/VIT/18CD-1610.2/2018,,O,CATHAY,,Pool1,"Foot-and-mouth disease virus serotype O/CATHAY near full-length genomes from 5 outbreaks in Vietnam, 2017-2019",Not found
MN250316,2018,VNM,pig,O/VIT/18-5490/2018,,O,CATHAY,,Pool1,"Foot-and-mouth disease virus serotype O/CATHAY near full-length genomes from 5 outbreaks in Vietnam, 2017-2019",Not found
MN250315,2018,VNM,pig,O/VIT/18-3766/2018,,O,CATHAY,,Pool1,"Foot-and-mouth disease virus serotype O/CATHAY near full-length genomes from 5 outbreaks in Vietnam, 2017-2019",Not found
MN250314,2017,VNM,pig,O/VIT/17-19073/2017,,O,CATHAY,,Pool1,"Foot-and-mouth disease virus serotype O/CATHAY near full-length genomes from 5 outbreaks in Vietnam, 2017-2019",Not found
MN275121,2016,CMR,cow,SAT1/CAR/2186/2016,,SAT1,X,,Pool5,First near-complete genome sequences of foot-and-mouth disease virus SAT 1 topotype X from Cameroon,Not found
MN275120,2016,CMR,cow,SAT1/CAR/2101/2016,,SAT1,X,,Pool5,First near-complete genome sequences of foot-and-mouth disease virus SAT 1 topotype X from Cameroon,Not found
MN275119,2016,CMR,cow,SAT1/CAR/171/2016,,SAT1,X,,Pool5,First near-complete genome sequences of foot-and-mouth disease virus SAT 1 topotype X from Cameroon,Not found
MN275118,2016,CMR,cow,SAT1/CAR/154/2016,,SAT1,X,,Pool5,First near-complete genome sequences of foot-and-mouth disease virus SAT 1 topotype X from Cameroon,Not found
MN116688,2016,KEN,cow,,KEN/K74/2016,A,AFRICA,,Pool4,Foot-and-mouth disease virus serotype A complete genome sequence from Kenya in 2016,Not found
MN103523,2014,NER,cow,SAT2/NIG/1/14,,SAT2,VII,,Pool5,Foot-and-mouth disease virus of serotype SAT2 full-length genome from Nigeria in 2014,epithelial
MN116694,2016,KEN,cow,O/KEN/K19/2016,,O,EAST-AFRICA-2-EA-2,,Pool4,"First near-complete genomes of two foot-and-mouth disease viruses serotype O, topotype East Africa from Kenya",Not found
MN116693,2014,KEN,cow,O/KEN/K60/2014,,O,EAST-AFRICA-2-EA-2,,Pool4,"First near-complete genomes of two foot-and-mouth disease viruses serotype O, topotype East Africa from Kenya",Not found
MN116692,2014,KEN,cow,SAT2/KEN/K137/2014,,SAT2,IV,,Pool4,Near-complete SAT1/ SAT2 foot-and-mouth disease virus genomes from Kenya in 2014-2016,Not found
MN116691,2016,KEN,cow,SAT1/KEN/K75/2016,,SAT1,I-NORTHWEST-ZIMBABWE-NWZ,,Pool4,Near-complete SAT1/ SAT2 foot-and-mouth disease virus genomes from Kenya in 2014-2016,Not found
MN116690,2014,KEN,cow,SAT1/KEN/K29/2014,,SAT1,I-NORTHWEST-ZIMBABWE-NWZ,,Pool4,Near-complete SAT1/ SAT2 foot-and-mouth disease virus genomes from Kenya in 2014-2016,Not found
MN116689,2014,KEN,cow,SAT1/KEN/K14/2014,,SAT1,I-NORTHWEST-ZIMBABWE-NWZ,,Pool4,Near-complete SAT1/ SAT2 foot-and-mouth disease virus genomes from Kenya in 2014-2016,Not found
MN095371,2014,IND,cattle,O/IND/C12230/2014,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool2,Genome sequences of 18 foot-and-mouth disease virus outbreak strains of serotype O sublineage Ind2001d from India 2013-2014,Not found
MN095370,2014,IND,cattle,O/IND/C6684/2014,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool2,Genome sequences of 18 foot-and-mouth disease virus outbreak strains of serotype O sublineage Ind2001d from India 2013-2014,Not found
MN095369,2014,IND,cattle,O/IND/C6673/2014,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool2,Genome sequences of 18 foot-and-mouth disease virus outbreak strains of serotype O sublineage Ind2001d from India 2013-2014,Not found
MN095368,2014,IND,cattle,O/IND/C5660/2014,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool2,Genome sequences of 18 foot-and-mouth disease virus outbreak strains of serotype O sublineage Ind2001d from India 2013-2014,Not found
MN095367,2014,IND,cattle,O/IND/C5630/2014,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool2,Genome sequences of 18 foot-and-mouth disease virus outbreak strains of serotype O sublineage Ind2001d from India 2013-2014,Not found
MN095366,2014,IND,cattle,O/IND/C421/2014,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool2,Genome sequences of 18 foot-and-mouth disease virus outbreak strains of serotype O sublineage Ind2001d from India 2013-2014,Not found
MN095365,2014,IND,cattle,O/IND/32(73)/2014,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool2,Genome sequences of 18 foot-and-mouth disease virus outbreak strains of serotype O sublineage Ind2001d from India 2013-2014,Not found
MN095364,2014,IND,cattle,O/IND/32(69)/2014,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool2,Genome sequences of 18 foot-and-mouth disease virus outbreak strains of serotype O sublineage Ind2001d from India 2013-2014,Not found
MN095363,2013,IND,cattle,O/IND/MUK567/2013,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool2,Genome sequences of 18 foot-and-mouth disease virus outbreak strains of serotype O sublineage Ind2001d from India 2013-2014,Not found
MN095362,2013,IND,cattle,O/IND/MUK564/2013,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool2,Genome sequences of 18 foot-and-mouth disease virus outbreak strains of serotype O sublineage Ind2001d from India 2013-2014,Not found
MN095361,2013,IND,cattle,O/IND/MUK561/2013,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool2,Genome sequences of 18 foot-and-mouth disease virus outbreak strains of serotype O sublineage Ind2001d from India 2013-2014,Not found
MN095360,2013,IND,cattle,O/IND/MUK456/2013,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool2,Genome sequences of 18 foot-and-mouth disease virus outbreak strains of serotype O sublineage Ind2001d from India 2013-2014,Not found
MN095359,2013,IND,cattle,O/IND/MUK359/2013,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool2,Genome sequences of 18 foot-and-mouth disease virus outbreak strains of serotype O sublineage Ind2001d from India 2013-2014,Not found
MN095358,2013,IND,cattle,O/IND/MUK307/2013,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool2,Genome sequences of 18 foot-and-mouth disease virus outbreak strains of serotype O sublineage Ind2001d from India 2013-2014,Not found
MN095357,2013,IND,cattle,O/IND/349(740)/2013,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool2,Genome sequences of 18 foot-and-mouth disease virus outbreak strains of serotype O sublineage Ind2001d from India 2013-2014,Not found
MN095356,2013,IND,cattle,O/IND/349(735)/2013,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool2,Genome sequences of 18 foot-and-mouth disease virus outbreak strains of serotype O sublineage Ind2001d from India 2013-2014,Not found
MN095355,2013,IND,cattle,O/IND/424(891)/2013,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool2,Genome sequences of 18 foot-and-mouth disease virus outbreak strains of serotype O sublineage Ind2001d from India 2013-2014,Not found
MN095354,2013,IND,cattle,O/IND/394(826)/2013,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool2,Genome sequences of 18 foot-and-mouth disease virus outbreak strains of serotype O sublineage Ind2001d from India 2013-2014,Not found
NC_039210,1965,GBR,,o6pirbright iso58,O6,O,EUROPE-SOUTH-AMERICA-EURO-SA,,,Direct Submission,Not found
LC456873,2018,GHA,cow,,O/GHA/Asu/12/2018,O,EAST-AFRICA-3-EA-3,,Pool5,Genome characterization of Foot-and-mouth disease virus isolated from cattle in Ghana in 2018,Not found
LC456871,2018,GHA,cow,,O/GHA/Asu/10/2018,O,EAST-AFRICA-3-EA-3,,Pool5,Genome characterization of Foot-and-mouth disease virus isolated from cattle in Ghana in 2018,Not found
LC456870,2018,GHA,cow,,O/GHA/Asu/9/2018,O,EAST-AFRICA-3-EA-3,,Pool5,Genome characterization of Foot-and-mouth disease virus isolated from cattle in Ghana in 2018,Not found
MK071699,2013,BGD,cattle,BAN/BO/Na-161/2013,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool2,Genome Sequence of Foot-and-Mouth Disease Virus Sublineage O/ME-SA/Ind2001BD2 Isolated from Cattle in Bangladesh,tongue epithelium
LC438823,2016,MMR,cow,,O/MYA/Yan/5/2016,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool1,Genome Sequence of Foot-and-Mouth Disease Virus of Serotype O Isolated from Cattle and Buffalo in Myanmar,Not found
LC438822,2016,MMR,cow,,O/MYA/Yan/3/2016,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool1,Genome Sequence of Foot-and-Mouth Disease Virus of Serotype O Isolated from Cattle and Buffalo in Myanmar,Not found
MH845413,2014,VNM,pig,,O/VN1/2014,O,SOUTHEAST-ASIA-SEA,,Pool1,Direct Submission,Not found
MF947143,2013,VNM,cattle,O/VIT/106131/2013,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool1,Foot-and-mouth disease viruses in Southeast Asia: a traditional evolutionary history challenged by analyses of non-structural protein encoding sequences,Not found
MF947137,2012,VNM,buffalo,O/VIT/49/2012_pro,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool1,Foot-and-mouth disease viruses in Southeast Asia: a traditional evolutionary history challenged by analyses of non-structural protein encoding sequences,Not found
MF947132,2015,VNM,buffalo,O/VIT/16456/2015,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool1,Foot-and-mouth disease viruses in Southeast Asia: a traditional evolutionary history challenged by analyses of non-structural protein encoding sequences,Not found
MF947131,2013,VNM,pig,O/VIT/11965/2013,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool1,Foot-and-mouth disease viruses in Southeast Asia: a traditional evolutionary history challenged by analyses of non-structural protein encoding sequences,Not found
MF947129,2014,VNM,pig,O/VIT/10894/2014,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool1,Foot-and-mouth disease viruses in Southeast Asia: a traditional evolutionary history challenged by analyses of non-structural protein encoding sequences,Not found
MF947128,2010,VNM,cattle,O/VIT/7223/2010,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool1,Foot-and-mouth disease viruses in Southeast Asia: a traditional evolutionary history challenged by analyses of non-structural protein encoding sequences,Not found
MF947127,2012,VNM,buffalo,O/VIT/2012/Buff(V-BU1)/Phar(A),,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool1,Foot-and-mouth disease viruses in Southeast Asia: a traditional evolutionary history challenged by analyses of non-structural protein encoding sequences,Not found
MF947126,2011,VNM,pig,O/VIT/1677/2011,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool1,Foot-and-mouth disease viruses in Southeast Asia: a traditional evolutionary history challenged by analyses of non-structural protein encoding sequences,Not found
MF947124,2012,VNM,cattle,O/VIT/30/2012,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool1,Foot-and-mouth disease viruses in Southeast Asia: a traditional evolutionary history challenged by analyses of non-structural protein encoding sequences,Not found
MF947123,2011,VNM,buffalo,O/VIT/20/2011,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool1,Foot-and-mouth disease viruses in Southeast Asia: a traditional evolutionary history challenged by analyses of non-structural protein encoding sequences,Not found
MH891503,2017,VNM,cow,,O/VIT/8338/2017,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool1,First genome sequence of Foot-and-mouth disease virus serotype O sublineage Ind2001e in Vietnam,Not found
MH784405,2017,PAK,cattle,PAK/14/2017,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Genome sequence of antigenically distinct serotype O foot-and-mouth disease viruses from Pakistan,Not found
MH784404,2017,PAK,water-buffalo,PAK/4/2017,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Genome sequence of antigenically distinct serotype O foot-and-mouth disease viruses from Pakistan,Not found
MH784403,2016,PAK,cattle,PAK/10/2016,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Genome sequence of antigenically distinct serotype O foot-and-mouth disease viruses from Pakistan,Not found
MG983741,2016,VNM,cattle,VIT/20/2016,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool1,Reconstructing the evolutionary history of pandemic foot-and-mouth disease viruses: the impact of recombination within the emerging O/ME-SA/Ind-2001 lineage,Not found
MG983740,2015,VNM,cattle,VIT/8/2015,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool1,Reconstructing the evolutionary history of pandemic foot-and-mouth disease viruses: the impact of recombination within the emerging O/ME-SA/Ind-2001 lineage,Not found
MG983739,2016,ARE,cattle,UAE/3/2016,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool3,Reconstructing the evolutionary history of pandemic foot-and-mouth disease viruses: the impact of recombination within the emerging O/ME-SA/Ind-2001 lineage,Not found
MG983738,2016,ARE,cattle,UAE/1/2016,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool3,Reconstructing the evolutionary history of pandemic foot-and-mouth disease viruses: the impact of recombination within the emerging O/ME-SA/Ind-2001 lineage,Not found
MG983737,2014,ARE,gazelle,UAE/2/2014,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool3,Reconstructing the evolutionary history of pandemic foot-and-mouth disease viruses: the impact of recombination within the emerging O/ME-SA/Ind-2001 lineage,Not found
MG983736,2014,ARE,gazelle,UAE/1/2014,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool3,Reconstructing the evolutionary history of pandemic foot-and-mouth disease viruses: the impact of recombination within the emerging O/ME-SA/Ind-2001 lineage,Not found
MG983735,2014,TUN,,TUN/1/2014,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,,Reconstructing the evolutionary history of pandemic foot-and-mouth disease viruses: the impact of recombination within the emerging O/ME-SA/Ind-2001 lineage,Not found
MG983734,2014,LKA,water-buffalo,SRL/30/2014,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool2,Reconstructing the evolutionary history of pandemic foot-and-mouth disease viruses: the impact of recombination within the emerging O/ME-SA/Ind-2001 lineage,Not found
MG983733,2014,LKA,cattle,SRL/28/2014,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool2,Reconstructing the evolutionary history of pandemic foot-and-mouth disease viruses: the impact of recombination within the emerging O/ME-SA/Ind-2001 lineage,Not found
MG983732,2014,LKA,cattle,SRL/1/2014,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool2,Reconstructing the evolutionary history of pandemic foot-and-mouth disease viruses: the impact of recombination within the emerging O/ME-SA/Ind-2001 lineage,Not found
MG983731,2013,LKA,cattle,SRL/1/2013,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool2,Reconstructing the evolutionary history of pandemic foot-and-mouth disease viruses: the impact of recombination within the emerging O/ME-SA/Ind-2001 lineage,Not found
MG983730,2017,KOR,cattle,SKR/1/2017,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool1,Reconstructing the evolutionary history of pandemic foot-and-mouth disease viruses: the impact of recombination within the emerging O/ME-SA/Ind-2001 lineage,Not found
MG983729,2016,SAU,cattle,SAU/2/2016,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool3,Reconstructing the evolutionary history of pandemic foot-and-mouth disease viruses: the impact of recombination within the emerging O/ME-SA/Ind-2001 lineage,Not found
MG983728,2016,SAU,cattle,SAU/1/2016,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool3,Reconstructing the evolutionary history of pandemic foot-and-mouth disease viruses: the impact of recombination within the emerging O/ME-SA/Ind-2001 lineage,Not found
MG983727,2015,SAU,cattle,SAU/20/2015,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool3,Reconstructing the evolutionary history of pandemic foot-and-mouth disease viruses: the impact of recombination within the emerging O/ME-SA/Ind-2001 lineage,Not found
MG983726,2014,SAU,cattle,SAU/4/2014,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool3,Reconstructing the evolutionary history of pandemic foot-and-mouth disease viruses: the impact of recombination within the emerging O/ME-SA/Ind-2001 lineage,Not found
MG983725,2014,SAU,cattle,SAU/1/2014,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool3,Reconstructing the evolutionary history of pandemic foot-and-mouth disease viruses: the impact of recombination within the emerging O/ME-SA/Ind-2001 lineage,Not found
MG983724,2013,SAU,cattle,SAU/7/2013,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool3,Reconstructing the evolutionary history of pandemic foot-and-mouth disease viruses: the impact of recombination within the emerging O/ME-SA/Ind-2001 lineage,Not found
MG983723,2013,SAU,cattle,SAU/6/2013,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool3,Reconstructing the evolutionary history of pandemic foot-and-mouth disease viruses: the impact of recombination within the emerging O/ME-SA/Ind-2001 lineage,Not found
MG983722,2013,SAU,cattle,SAU/4/2013,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool3,Reconstructing the evolutionary history of pandemic foot-and-mouth disease viruses: the impact of recombination within the emerging O/ME-SA/Ind-2001 lineage,Not found
MG983721,2013,SAU,cattle,SAU/1/2013,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool3,Reconstructing the evolutionary history of pandemic foot-and-mouth disease viruses: the impact of recombination within the emerging O/ME-SA/Ind-2001 lineage,Not found
MG983720,2016,RUS,cattle,Zabaikalskiy/1/RUS/2016,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool1/Pool3,Reconstructing the evolutionary history of pandemic foot-and-mouth disease viruses: the impact of recombination within the emerging O/ME-SA/Ind-2001 lineage,Not found
MG983719,2015,NPL,cattle,NEP/21/2015,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool2,Reconstructing the evolutionary history of pandemic foot-and-mouth disease viruses: the impact of recombination within the emerging O/ME-SA/Ind-2001 lineage,Not found
