GenBankAccession,Country,Host,CollectionDate,Annotated serotype,Strain,Isolate,IsolationSource,Genotyped serotype,Topotype
ON868573,VNM,Unknown,2019,O,Unknown,O/VIT/19-1423-45/2019_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868572,VNM,cow,2019,O,Unknown,O/VIT/DT-P-31-3/2019_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868571,VNM,cow,2018,O,Unknown,O/VIT/TN-P04-11/2018_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868570,VNM,Unknown,2019,O,Unknown,O/VIT/DL-P-246C-1/2019_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868569,VNM,water-buffalo,2018,O,Unknown,O/VIT/BK-P101-1B/2018_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868568,VNM,cow,2018,O,Unknown,O/VIT/LA-P29-16/2018_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868567,VNM,water-buffalo,2018,O,Unknown,O/VIT/LS-P72-2/2018_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868566,VNM,cow,2018,O,Unknown,O/VIT/LA-P17-13/2018_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868565,VNM,cow,2019,O,Unknown,O/VIT/LAP03-13/2019_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868564,VNM,cow,2018,O,Unknown,O/VIT/TN-P20-14/2018_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868563,VNM,water-buffalo,2018,O,Unknown,O/VIT/BK-P100-1/2018_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868562,VNM,cow,2019,O,Unknown,O/VIT/DT-P-28-3/2019_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868561,VNM,cow,2019,O,Unknown,O/VIT/LAP03-21/2019_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868560,VNM,cow,2018,O,Unknown,O/VIT/LA-P09-15/2018_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868559,VNM,Unknown,2018,O,Unknown,O/VIT/DT-P55-1/2018_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868558,VNM,cow,2019,O,Unknown,O/VIT/DT-P28-4/2019_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868557,VNM,water-buffalo,2018,O,Unknown,O/VIT/18-11786/2018,epithelial tissue,O,Unknown
ON868556,VNM,cow,2019,O,Unknown,O/VIT/LAP03-23/2019_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868555,VNM,cow,2018,O,Unknown,O/VIT/TN-P09-16/2018_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868554,VNM,pig,2018,O,Unknown,O/VIT/18-23369/2018,epithelial tissue,O,Unknown
ON868553,VNM,cow,2019,O,Unknown,O/VIT/LAP03-20/2019_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868552,VNM,pig,2019,O,Unknown,O/VIT/19-4196/2019,epithelial tissue,O,Unknown
ON868551,VNM,cow,2018,O,Unknown,O/VIT/TN-P06-16/2018_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868550,VNM,Unknown,2018,O,Unknown,O/VIT/LA-P26-10/2018_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868549,VNM,cow,2018,O,Unknown,O/VIT/18-2570/2018,epithelial tissue,O,Unknown
ON868548,VNM,cow,2018,O,Unknown,O/VIT/TN-P29-13/2018_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868547,VNM,cow,2018,O,Unknown,O/VIT/18-9129/2018,epithelial tissue,O,Unknown
ON868546,VNM,Unknown,2018,O,Unknown,O/VIT/DT-P-69-1/2018_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868545,VNM,cow,2018,O,Unknown,O/VIT/TN-P01-16/2018_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868544,VNM,Unknown,2018,O,Unknown,O/VIT/LA-P27-15/2018_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868543,VNM,Unknown,2018,O,Unknown,O/VIT/DT-P-119-3/2018_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868542,VNM,pig,2018,O,Unknown,O/VIT/18-3334/2018,epithelial tissue,O,Unknown
ON868541,VNM,Unknown,2018,O,Unknown,O/VIT/DT-P-14-1/2018_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868540,VNM,water-buffalo,2018,O,Unknown,O/VIT/LA-P29-11/2018_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868539,VNM,cow,2018,O,Unknown,O/VIT/TN-P20-11/2018_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868538,VNM,cow,2018,O,Unknown,O/VIT/LA-P12-11/2018_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868537,VNM,Unknown,2018,O,Unknown,O/VIT/DT-P-72-1/2018_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868536,VNM,cow,2018,O,Unknown,O/VIT/TN-P26-11/2018_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868535,VNM,Unknown,2018,O,Unknown,O/VIT/DT-P-107-1/2018_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868534,VNM,Unknown,2018,O,Unknown,O/VIT/DT-P-147-2/2018_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868533,VNM,Unknown,2018,O,Unknown,O/VIT/DT-P-108-2/2018_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868532,VNM,Unknown,2018,O,Unknown,O/VIT/DT-P-108-3/2018_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868531,VNM,Unknown,2018,O,Unknown,O/VIT/DT-P-69-3/2018_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868530,VNM,Unknown,2018,O,Unknown,O/VIT/DT-P-69-2/2018_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868529,VNM,cow,2018,O,Unknown,O/VIT/LA-P02-15/2018_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868528,VNM,pig,2018,O,Unknown,O/VIT/18-5835/2018,epithelial tissue,O,Unknown
ON868527,VNM,cow,2018,O,Unknown,O/VIT/LA-P01-15/2018_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868526,VNM,cow,2018,O,Unknown,O/VIT/LA-P13-11/2018_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868525,VNM,water-buffalo,2018,O,Unknown,O/VIT/LA-P04-15/2018_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868524,VNM,cow,2018,O,Unknown,O/VIT/TN-P13-11/2018_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868523,VNM,cow,2017,O,Unknown,O/VIT/DT-P111-3/2017_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868522,VNM,cow,2017,O,Unknown,O/VIT/DT-P115-4/2017_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868521,VNM,pig,2018,O,Unknown,O/VIT/18-5822/2018,epithelial tissue,O,Unknown
ON868520,VNM,cow,2017,O,Unknown,O/VIT/DT-P119-4/2017_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868519,VNM,cow,2017,O,Unknown,O/VIT/DT-P115-3/2017_pro,oropharyngeal fluid (probang sample),O,Unknown
ON557390,ZMB,cow,2015,SAT3,Unknown,ZAM/3/2015,Unknown,SAT3,Unknown
OP751924,IDN,cattle,2022,Unknown,Unknown,VSN LPG002 2022,body fluid,O,Unknown
ON784047,UGA,cow,2015,O,Unknown,V04667,cell culture supernatant,O,Unknown
ON784046,UGA,cow,2015,O,Unknown,V04666,cell culture supernatant,O,Unknown
ON784045,UGA,cow,2015,O,Unknown,V04665,cell culture supernatant,O,Unknown
ON736860,UGA,cow,2015,O,Unknown,ALB _F2_004_P,cell culture supernatant,O,Unknown
OM863584,SDN,cattle,2013,SAT2,Unknown,SUD/3/2013,Unknown,SAT2,Unknown
OM863583,KEN,cattle,2013,SAT1,Unknown,KEN/4/2013,Unknown,SAT1,Unknown
OM863582,KEN,cattle,2010,SAT1,Unknown,KEN/80/2010,Unknown,SAT1,Unknown
OM863581,KEN,cattle,2012,A,Unknown,KEN/5/2012,Unknown,A,Unknown
OM863580,EGY,cattle,2012,A,Unknown,EGY/18/2012,Unknown,A,Unknown
LC729872,THA,pig,2016,O,Unknown,O/TAI/317-3/2016,Unknown,O,Unknown
LC729871,THA,cow,2016,O,Unknown,O/TAI/315/2016,Unknown,O,Unknown
LC729870,THA,cow,2016,O,Unknown,O/TAI/269-2/2016,Unknown,O,Unknown
OP585403,IDN,cattle,2022,O,Unknown,ISA/1/2022,Unknown,O,Unknown
OM160625,DZA,sheep,2015,Unknown,O/ALG/1/2015,Unknown,vesicular epithelium,O,Unknown
OM160624,DZA,cattle,2014,Unknown,O/ALG/5/2014,Unknown,tissue debris,O,Unknown
OM160623,DZA,cattle,2014,Unknown,O/ALG/3/2014,Unknown,vesicular epithelium,O,Unknown
OM160622,DZA,cattle,2014,Unknown,O/ALG/2/2014,Unknown,vesicular epithelium,O,Unknown
OM160621,DZA,cattle,2014,Unknown,O/ALG/1/2014,Unknown,vesicular epithelium,O,Unknown
OM160620,TUN,cattle,2014,Unknown,O/TUN/14/2014,Unknown,vesicular epithelium,O,Unknown
OM160619,TUN,cattle,2014,Unknown,O/TUN/13/2014,Unknown,vesicular epithelium,O,Unknown
OM160618,TUN,cattle,2014,Unknown,O/TUN/12/2014,Unknown,vesicular epithelium,O,Unknown
OM160617,TUN,cattle,2014,Unknown,O/TUN/11/2014,Unknown,vesicular epithelium,O,Unknown
OM160616,TUN,cattle,2014,Unknown,O/TUN/10/2014,Unknown,vesicular epithelium,O,Unknown
OM160615,TUN,cattle,2014,Unknown,O/TUN/9/2014,Unknown,vesicular epithelium,O,Unknown
OM160614,TUN,cattle,2014,Unknown,O/TUN/8/2014,Unknown,vesicular epithelium,O,Unknown
OM160613,TUN,cattle,2014,Unknown,O/TUN/7/2014,Unknown,vesicular epithelium,O,Unknown
OM160612,TUN,cattle,2014,Unknown,O/TUN/6/2014,Unknown,vesicular epithelium,O,Unknown
OM160611,TUN,cattle,2014,Unknown,O/TUN/5/2014,Unknown,vesicular epithelium,O,Unknown
OM160610,TUN,cattle,2014,Unknown,O/TUN/3/2014,Unknown,vesicular epithelium,O,Unknown
OK318551,VNM,cattle,2016,Unknown,Unknown,O/VIT/F16-09/2016,Unknown,O,Unknown
OK318550,VNM,cattle,2017,Unknown,Unknown,O/VIT/DL-P44-1/2017_pro,Unknown,O,Unknown
OK318549,VNM,cattle,2017,Unknown,Unknown,O/VIT/DL-P24-1/2017_pro,Unknown,O,Unknown
OK318548,VNM,buffalo,2017,Unknown,Unknown,O/VIT/BK4-P5/2017_pro,Unknown,O,Unknown
OK318547,VNM,cattle,2017,Unknown,Unknown,O/VIT/BK3-P158/2017_pro,Unknown,O,Unknown
OK318546,VNM,buffalo,2017,Unknown,Unknown,O/VIT/1BK-P249/2017_pro,Unknown,O,Unknown
OK318545,VNM,cattle,2018,Unknown,Unknown,O/VIT/DT-P-108-2/2018_pro,Unknown,O,Unknown
OK318544,VNM,cattle,2018,Unknown,Unknown,O/VIT/DT-P-69-2/2018_pro,Unknown,O,Unknown
OK318543,VNM,pig,2019,Unknown,Unknown,O/VIT/19F17/2019,Unknown,O,Unknown
OK318542,VNM,pig,2019,Unknown,Unknown,O/VIT/19F14/2019,Unknown,O,Unknown
OK318541,VNM,pig,2019,Unknown,Unknown,O/VIT/19-2266/2019,Unknown,O,Unknown
OK318540,VNM,pig,2019,Unknown,Unknown,O/VIT/19-2259/2019,Unknown,O,Unknown
OK318539,VNM,pig,2019,Unknown,Unknown,O/VIT/19-2248-A/2019,Unknown,O,Unknown
OK318538,VNM,pig,2019,Unknown,Unknown,O/VIT/19-1857/2019,Unknown,O,Unknown
OK318537,VNM,pig,2019,Unknown,Unknown,O/VIT/19-1438/2019,Unknown,O,Unknown
OK318536,VNM,cattle,2018,Unknown,Unknown,O/VIT/19-728/2019,Unknown,O,Unknown
OK318535,VNM,pig,2019,Unknown,Unknown,O/VIT/19-005/2019,Unknown,O,Unknown
OK318534,VNM,pig,2019,Unknown,Unknown,O/VIT/19-01.01/2019,Unknown,O,Unknown
OK318533,VNM,pig,2019,Unknown,Unknown,O/VIT/19-001/2019,Unknown,O,Unknown
OK318532,VNM,pig,2018,Unknown,Unknown,O/VIT/18F291/2018,Unknown,O,Unknown
OK318531,VNM,pig,2018,Unknown,Unknown,O/VIT/18F281/2018,Unknown,O,Unknown
OK318530,VNM,pig,2018,Unknown,Unknown,O/VIT/18F277/2018,Unknown,O,Unknown
OK318529,VNM,pig,2018,Unknown,Unknown,O/VIT/18F274/2018,Unknown,O,Unknown
OK318528,VNM,pig,2018,Unknown,Unknown,O/VIT/18F268/2018,Unknown,O,Unknown
OK318527,VNM,pig,2018,Unknown,Unknown,O/VIT/18F263/2018,Unknown,O,Unknown
OK318526,VNM,buffalo,2018,Unknown,Unknown,O/VIT/18F258/2018,Unknown,O,Unknown
OK318525,VNM,pig,2018,Unknown,Unknown,O/VIT/18F223/2018,Unknown,O,Unknown
OK318524,VNM,pig,2018,Unknown,Unknown,O/VIT/18F219/2018,Unknown,O,Unknown
OK318523,VNM,pig,2018,Unknown,Unknown,O/VIT/18F207/2018,Unknown,O,Unknown
OK318522,VNM,pig,2018,Unknown,Unknown,O/VIT/18CD-1987.1/2018,Unknown,O,Unknown
OK318521,VNM,pig,2018,Unknown,Unknown,O/VIT/18CD-1610.2/2018,Unknown,O,Unknown
OK318520,VNM,pig,2018,Unknown,Unknown,O/VIT/18-28811/2018,Unknown,O,Unknown
OK318519,VNM,cattle,2018,Unknown,Unknown,O/VIT/18-23392/2018,Unknown,O,Unknown
OK318518,VNM,goat,2018,Unknown,Unknown,O/VIT/18-22002/2018,Unknown,O,Unknown
OK318517,VNM,cattle,2018,Unknown,Unknown,O/VIT/18-13553/2018,Unknown,O,Unknown
OK318516,VNM,cattle,2018,Unknown,Unknown,O/VIT/18-8353/2018,Unknown,O,Unknown
OK318515,VNM,pig,2018,Unknown,Unknown,O/VIT/18-5490/2018,Unknown,O,Unknown
OK318514,VNM,cattle,2018,Unknown,Unknown,O/VIT/18-5482/2018,Unknown,O,Unknown
OK318513,VNM,pig,2018,Unknown,Unknown,O/VIT/18-3766/2018,Unknown,O,Unknown
OK318512,VNM,pig,2018,Unknown,Unknown,O/VIT/18-999/2018,Unknown,O,Unknown
OK318511,VNM,pig,2018,Unknown,Unknown,O/VIT/02.CD/2018,Unknown,O,Unknown
OK318510,VNM,cattle,2019,Unknown,Unknown,A/VIT/TNP04-029/2019_pro,Unknown,A,Unknown
OK318509,VNM,cattle,2019,Unknown,Unknown,A/VIT/LAP04-12/2019_pro,Unknown,A,Unknown
OK318508,VNM,cattle,2019,Unknown,Unknown,A/VIT/LAP04-11/2019_pro,Unknown,A,Unknown
OK318507,VNM,cattle,2019,Unknown,Unknown,A/VIT/LAP03-06/2019_pro,Unknown,A,Unknown
OK318506,VNM,cattle,2019,Unknown,Unknown,A/VIT/LAP03-05/2019_pro,Unknown,A,Unknown
OK318505,VNM,cattle,2019,Unknown,Unknown,A/VIT/DT-P83-4/2019_pro,Unknown,A,Unknown
OK318504,VNM,cattle,2019,Unknown,Unknown,A/VIT/DT-P-76-3/2019_pro,Unknown,A,Unknown
OK318503,VNM,cattle,2019,Unknown,Unknown,A/VIT/DT-P73-4/2019_pro,Unknown,A,Unknown
OK318502,VNM,cattle,2019,Unknown,Unknown,A/VIT/DT-P-73-3/2019_pro,Unknown,A,Unknown
OK318501,VNM,cattle,2019,Unknown,Unknown,A/VIT/DT-P21-4/2019_pro,Unknown,A,Unknown
OK318500,VNM,cattle,2017,Unknown,Unknown,A/VIT/DL-P087-1/2017_pro,Unknown,A,Unknown
OK318499,VNM,cattle,2016,Unknown,Unknown,A/VIT/16-20280/2016,Unknown,A,Unknown
OK205907,VNM,cattle,2014,Unknown,Unknown,A/VIT/RAHO6F5/2014,Unknown,A,Unknown
OK205906,VNM,cattle,2013,Unknown,Unknown,A/VIT/RAHO6F3/2013,Unknown,A,Unknown
OK205905,VNM,cattle,2014,Unknown,Unknown,A/VIT/RAHO6F2/2014,Unknown,A,Unknown
OK205904,VNM,cattle,2014,Unknown,Unknown,A/VIT/NCVDF1422/2014,Unknown,A,Unknown
OK205903,VNM,pig,2014,Unknown,Unknown,A/VIT/NCVDF1413/2014,Unknown,A,Unknown
OK205902,VNM,cattle,2014,Unknown,Unknown,A/VIT/NCVDF1404/2014,Unknown,A,Unknown
OK205901,VNM,buffalo,2014,Unknown,Unknown,A/VIT/NCVDF1402/2014,Unknown,A,Unknown
OK205900,VNM,cattle,2015,Unknown,Unknown,A/VIT/17208/2015,Unknown,A,Unknown
OK205899,VNM,cattle,2015,Unknown,Unknown,A/VIT/16705/2015,Unknown,A,Unknown
OK205898,VNM,cattle,2013,Unknown,Unknown,A/VIT/16478XL15/2013,Unknown,A,Unknown
OK205897,VNM,pig,2015,Unknown,Unknown,A/VIT/16451DLBPP01/2015,Unknown,A,Unknown
OK205896,VNM,cattle,2014,Unknown,Unknown,A/VIT/8506/2014,Unknown,A,Unknown
OK205895,VNM,cattle,2014,Unknown,Unknown,A/VIT/6415/2014,Unknown,A,Unknown
OK205894,VNM,buffalo,2014,Unknown,Unknown,A/VIT/1402/2014,Unknown,A,Unknown
OK205893,VNM,cattle,2013,Unknown,Unknown,A/VIT/205/2013,Unknown,A,Unknown
OM456150,PAK,buffalo,2010,Unknown,Unknown,O/PAK/SHL/16/2010,Unknown,O,Unknown
OM456149,PAK,cattle,2012,Unknown,Unknown,O/PAK/SGD/176/2012,Unknown,O,Unknown
OM456148,PAK,buffalo,2012,Unknown,Unknown,O/PAK/SGD/168/2012,Unknown,O,Unknown
OM456147,PAK,cattle,2011,Unknown,Unknown,O/PAK/SGD/19/2011,Unknown,O,Unknown
OM456146,PAK,cattle,2010,Unknown,Unknown,O/PAK/SGD/18/2010,Unknown,O,Unknown
OM456145,PAK,buffalo,2010,Unknown,Unknown,O/PAK/SGD/17/2010,Unknown,O,Unknown
OM456144,PAK,cattle,2010,Unknown,Unknown,O/PAK/SGD/9/2010,Unknown,O,Unknown
OM456143,PAK,buffalo,2012,Unknown,Unknown,O/PAK/NSH/1/2012,Unknown,O,Unknown
OM456142,PAK,buffalo,2011,Unknown,Unknown,O/PAK/KCH/41/2011,Unknown,O,Unknown
OM456141,PAK,buffalo,2011,Unknown,Unknown,O/PAK/KCH/39/2011,Unknown,O,Unknown
OM456140,PAK,buffalo,2011,Unknown,Unknown,O/PAK/KCH/38/2011,Unknown,O,Unknown
OM456139,PAK,buffalo,2011,Unknown,Unknown,O/PAK/KCH/34/2011,Unknown,O,Unknown
OM456138,PAK,buffalo,2009,Unknown,Unknown,O/PAK/KCH/4/2009,Unknown,O,Unknown
OM456137,PAK,cattle,2012,Unknown,Unknown,O/PAK/JHG/6/2012,Unknown,O,Unknown
OM456136,PAK,buffalo,2012,Unknown,Unknown,O/PAK/ICT/254/2012,Unknown,O,Unknown
OM456135,PAK,cattle,2012,Unknown,Unknown,O/PAK/FSD/263/2012,Unknown,O,Unknown
OM456134,PAK,cattle,2012,Unknown,Unknown,O/PAK/FSD/262/2012,Unknown,O,Unknown
OM456133,PAK,cattle,2012,Unknown,Unknown,O/PAK/CKL/274/2012,Unknown,O,Unknown
OM456132,PAK,buffalo,2012,Unknown,Unknown,O/PAK/ICT/272-1/2012_pro,Unknown,O,Unknown
OM456131,PAK,buffalo,2012,Unknown,Unknown,O/PAK/ICT/245-1/2012_pro,Unknown,O,Unknown
OM456130,PAK,buffalo,2012,Unknown,Unknown,O/PAK/ICT/166-1/2012_pro,Unknown,O,Unknown
OM456129,PAK,buffalo,2012,Unknown,Unknown,O/PAK/ICT/161-2/2012_pro,Unknown,O,Unknown
OM456128,PAK,buffalo,2012,Unknown,Unknown,O/PAK/ICT/161-1/2012_pro,Unknown,O,Unknown
OM455484,PAK,buffalo,2012,Unknown,Unknown,A/PAK/SGD/12/2012,Unknown,A,Unknown
OM455483,PAK,cattle,2012,Unknown,Unknown,A/PAK/PSH/34/2012,Unknown,A,Unknown
OM455482,PAK,cattle,2009,Unknown,Unknown,A/PAK/KCH/7/2009,Unknown,A,Unknown
OM455481,PAK,buffalo,2012,Unknown,Unknown,A/PAK/ICT/276/2012,Unknown,A,Unknown
OM455480,PAK,cattle,2008,Unknown,Unknown,A/PAK/ICT/1/2008,Unknown,A,Unknown
OM455479,PAK,cattle,2012,Unknown,Unknown,A/PAK/FSD/4/2012,Unknown,A,Unknown
OM455478,PAK,buffalo,2012,Unknown,Unknown,A/PAK/ICT/238-1/2012_pro,Unknown,A,Unknown
OM455477,PAK,buffalo,2012,Unknown,Unknown,A/PAK/ICT/237-1/2012_pro,Unknown,A,Unknown
OM455476,PAK,buffalo,2012,Unknown,Unknown,A/PAK/ICT/231-1/2012_pro,Unknown,A,Unknown
OM455475,PAK,buffalo,2012,Unknown,Unknown,A/PAK/ICT/229-1/2012_pro,Unknown,A,Unknown
OM455474,PAK,buffalo,2012,Unknown,Unknown,A/PAK/ICT/208-1/2012_pro,Unknown,A,Unknown
OM455473,PAK,buffalo,2012,Unknown,Unknown,A/PAK/ICT/177-4/2012_pro,Unknown,A,Unknown
OM455472,PAK,buffalo,2012,Unknown,Unknown,A/PAK/ICT/170-1/2012_pro,Unknown,A,Unknown
OM455471,PAK,buffalo,2012,Unknown,Unknown,A/PAK/ICT/168-3/2012_pro,Unknown,A,Unknown
OM455470,PAK,buffalo,2012,Unknown,Unknown,A/PAK/ICT/168-2/2012_pro,Unknown,A,Unknown
OM455469,PAK,buffalo,2012,Unknown,Unknown,A/PAK/ICT/149-4/2012_pro,Unknown,A,Unknown
OM455468,PAK,buffalo,2012,Unknown,Unknown,A/PAK/ICT/131-4/2012_pro,Unknown,A,Unknown
OM455467,PAK,buffalo,2012,Unknown,Unknown,A/PAK/ICT/059-1/2012_pro,Unknown,A,Unknown
OM455466,PAK,buffalo,2012,Unknown,Unknown,A/PAK/ICT/008-3/2012_pro,Unknown,A,Unknown
OM455465,PAK,buffalo,2012,Unknown,Unknown,A/PAK/ICT/7-3/2012_pro,Unknown,A,Unknown
OM471680,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/SGD/179/2012,Unknown,Asia1,Unknown
OM471679,PAK,cattle,2012,Unknown,Unknown,Asia1/PAK/SGD/170/2012,Unknown,Asia1,Unknown
OM471678,PAK,cattle,2012,Unknown,Unknown,Asia1/PAK/SGD/171/2012,Unknown,Asia1,Unknown
OM471677,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/SGD/167/2012,Unknown,Asia1,Unknown
OM471676,PAK,cattle,2011,Unknown,Unknown,Asia1/PAK/SGD/25/2011,Unknown,Asia1,Unknown
OM471675,PAK,cattle,2011,Unknown,Unknown,Asia1/PAK/SGD/23/2011,Unknown,Asia1,Unknown
OM471674,PAK,cattle,2011,Unknown,Unknown,Asia1/PAK/SGD/22/2011,Unknown,Asia1,Unknown
OM471673,PAK,cattle,2012,Unknown,Unknown,Asia1/PAK/RYK/287/2012,Unknown,Asia1,Unknown
OM471672,PAK,cattle,2012,Unknown,Unknown,Asia1/PAK/RYK/283/2012,Unknown,Asia1,Unknown
OM471671,PAK,cattle,2012,Unknown,Unknown,Asia1/PAK/RYK/280/2012,Unknown,Asia1,Unknown
OM471670,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/RWP/227/2012,Unknown,Asia1,Unknown
OM471669,PAK,cattle,2012,Unknown,Unknown,Asia1/PAK/MRD/66/2012,Unknown,Asia1,Unknown
OM471668,PAK,cattle,2012,Unknown,Unknown,Asia1/PAK/KHT/9/2012,Unknown,Asia1,Unknown
OM471667,PAK,buffalo,2011,Unknown,Unknown,Asia1/PAK/KCH/39/2011,Unknown,Asia1,Unknown
OM471666,PAK,buffalo,2011,Unknown,Unknown,Asia1/PAK/KCH/38/2011,Unknown,Asia1,Unknown
OM471665,PAK,buffalo,2011,Unknown,Unknown,Asia1/PAK/KCH/34/2011,Unknown,Asia1,Unknown
OM471664,PAK,buffalo,2011,Unknown,Unknown,Asia1/PAK/KCH/32/2011,Unknown,Asia1,Unknown
OM471663,PAK,cattle,2012,Unknown,Unknown,Asia1/PAK/KCH/17/2012,Unknown,Asia1,Unknown
OM471662,PAK,cattle,2012,Unknown,Unknown,Asia1/PAK/KCH/16/2012,Unknown,Asia1,Unknown
OM471661,PAK,cattle,2012,Unknown,Unknown,Asia1/PAK/JHG/5/2012,Unknown,Asia1,Unknown
OM471660,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/271/2012,Unknown,Asia1,Unknown
OM471659,PAK,cattle,2012,Unknown,Unknown,Asia1/PAK/FSD/85/2012,Unknown,Asia1,Unknown
OM471658,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/283-4/2012_pro,Unknown,Asia1,Unknown
OM471657,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/284-3/2012_pro,Unknown,Asia1,Unknown
OM471656,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/284-1/2012_pro,Unknown,Asia1,Unknown
OM471655,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/277-4/2012_pro,Unknown,Asia1,Unknown
OM471654,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/277-1/2012_pro,Unknown,Asia1,Unknown
OM471653,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/273-4/2012_pro,Unknown,Asia1,Unknown
OM471652,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/272-4/2012_pro,Unknown,Asia1,Unknown
OM471651,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/263-4/2012_pro,Unknown,Asia1,Unknown
OM471650,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/263-1/2012_pro,Unknown,Asia1,Unknown
OM471649,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/256-4/2012_pro,Unknown,Asia1,Unknown
OM471648,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/254-4/2012_pro,Unknown,Asia1,Unknown
OM471647,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/254-1/2012_pro,Unknown,Asia1,Unknown
OM471646,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/237-4/2012_pro,Unknown,Asia1,Unknown
OM471645,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/233-4/2012_pro,Unknown,Asia1,Unknown
OM471644,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/231-4/2012_pro,Unknown,Asia1,Unknown
OM471643,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/230-4/2012_pro,Unknown,Asia1,Unknown
OM471642,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/229-4/2012_pro,Unknown,Asia1,Unknown
OM471641,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/222-4/2012_pro,Unknown,Asia1,Unknown
OM471640,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/221-4/2012_pro,Unknown,Asia1,Unknown
OM471639,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/220-4/2012_pro,Unknown,Asia1,Unknown
OM471638,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/209-4/2012_pro,Unknown,Asia1,Unknown
OM471637,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/208-4/2012_pro,Unknown,Asia1,Unknown
OM471636,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/192-4/2012_pro,Unknown,Asia1,Unknown
