Genbank accession;Year;Country;Host;Isolate;Strain;Serotype;Topotype;Lineage;
ON868535;2018;VNM;;O/VIT/DT-P-107-1/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868534;2018;VNM;;O/VIT/DT-P-147-2/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868533;2018;VNM;;O/VIT/DT-P-108-2/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868532;2018;VNM;;O/VIT/DT-P-108-3/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868531;2018;VNM;;O/VIT/DT-P-69-3/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868530;2018;VNM;;O/VIT/DT-P-69-2/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868529;2018;VNM;cow;O/VIT/LA-P02-15/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868528;2018;VNM;pig;O/VIT/18-5835/2018;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868527;2018;VNM;cow;O/VIT/LA-P01-15/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868526;2018;VNM;cow;O/VIT/LA-P13-11/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868525;2018;VNM;water-buffalo;O/VIT/LA-P04-15/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868524;2018;VNM;cow;O/VIT/TN-P13-11/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868523;2017;VNM;cow;O/VIT/DT-P111-3/2017_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868522;2017;VNM;cow;O/VIT/DT-P115-4/2017_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868521;2018;VNM;pig;O/VIT/18-5822/2018;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868520;2017;VNM;cow;O/VIT/DT-P119-4/2017_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868519;2017;VNM;cow;O/VIT/DT-P115-3/2017_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON557390;2015;ZMB;cow;ZAM/3/2015;;SAT3;I-SOUTHEAST-ZIMBABWE-SEZ;;
OP751924;2022;IDN;cattle;VSN LPG002 2022;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON784047;2015;UGA;cow;V04667;;O;EAST-AFRICA-2-EA-2;;
ON784046;2015;UGA;cow;V04666;;O;EAST-AFRICA-2-EA-2;;
ON784045;2015;UGA;cow;V04665;;O;EAST-AFRICA-2-EA-2;;
ON736860;2015;UGA;cow;ALB _F2_004_P;;O;EAST-AFRICA-2-EA-2;;
OM863583;2013;KEN;cattle;KEN/4/2013;;SAT1;I-NORTHWEST-ZIMBABWE-NWZ;;
OM863582;2010;KEN;cattle;KEN/80/2010;;SAT1;I-NORTHWEST-ZIMBABWE-NWZ;;
OM863581;2012;KEN;cattle;KEN/5/2012;;A;AFRICA;;
OM863580;2012;EGY;cattle;EGY/18/2012;;A;AFRICA;;
LC729872;2016;THA;pig;O/TAI/317-3/2016;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
LC729871;2016;THA;cow;O/TAI/315/2016;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
LC729870;2016;THA;cow;O/TAI/269-2/2016;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
OP585403;2022;IDN;cattle;ISA/1/2022;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
OM160625;2015;DZA;sheep;;O/ALG/1/2015;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
OM160624;2014;DZA;cattle;;O/ALG/5/2014;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
OM160623;2014;DZA;cattle;;O/ALG/3/2014;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
OM160622;2014;DZA;cattle;;O/ALG/2/2014;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
OM160621;2014;DZA;cattle;;O/ALG/1/2014;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
OM160620;2014;TUN;cattle;;O/TUN/14/2014;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
OM160619;2014;TUN;cattle;;O/TUN/13/2014;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
OM160618;2014;TUN;cattle;;O/TUN/12/2014;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
OM160617;2014;TUN;cattle;;O/TUN/11/2014;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
OM160616;2014;TUN;cattle;;O/TUN/10/2014;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
OM160615;2014;TUN;cattle;;O/TUN/9/2014;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
OM160614;2014;TUN;cattle;;O/TUN/8/2014;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
OM160613;2014;TUN;cattle;;O/TUN/7/2014;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
OM160612;2014;TUN;cattle;;O/TUN/6/2014;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
OM160611;2014;TUN;cattle;;O/TUN/5/2014;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
OM160610;2014;TUN;cattle;;O/TUN/3/2014;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
OK318551;2016;VNM;cattle;O/VIT/F16-09/2016;;O;SOUTHEAST-ASIA-SEA;Mya-98;
OK318550;2017;VNM;cattle;O/VIT/DL-P44-1/2017_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
OK318549;2017;VNM;cattle;O/VIT/DL-P24-1/2017_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
OK318548;2017;VNM;buffalo;O/VIT/BK4-P5/2017_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
OK318547;2017;VNM;cattle;O/VIT/BK3-P158/2017_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
OK318546;2017;VNM;buffalo;O/VIT/1BK-P249/2017_pro;;O;SOUTHEAST-ASIA-SEA;Mya-98;
OK318545;2018;VNM;cattle;O/VIT/DT-P-108-2/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
OK318544;2018;VNM;cattle;O/VIT/DT-P-69-2/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
OK318543;2019;VNM;pig;O/VIT/19F17/2019;;O;SOUTHEAST-ASIA-SEA;;
OK318542;2019;VNM;pig;O/VIT/19F14/2019;;O;SOUTHEAST-ASIA-SEA;;
OK318541;2019;VNM;pig;O/VIT/19-2266/2019;;O;SOUTHEAST-ASIA-SEA;;
OK318540;2019;VNM;pig;O/VIT/19-2259/2019;;O;SOUTHEAST-ASIA-SEA;;
OK318539;2019;VNM;pig;O/VIT/19-2248-A/2019;;O;SOUTHEAST-ASIA-SEA;;
OK318538;2019;VNM;pig;O/VIT/19-1857/2019;;O;SOUTHEAST-ASIA-SEA;;
OK318537;2019;VNM;pig;O/VIT/19-1438/2019;;O;SOUTHEAST-ASIA-SEA;;
OK318536;2018;VNM;cattle;O/VIT/19-728/2019;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
OK318535;2019;VNM;pig;O/VIT/19-005/2019;;O;CATHAY;;
OK318534;2019;VNM;pig;O/VIT/19-01.01/2019;;O;SOUTHEAST-ASIA-SEA;;
OK318533;2019;VNM;pig;O/VIT/19-001/2019;;O;SOUTHEAST-ASIA-SEA;;
OK318532;2018;VNM;pig;O/VIT/18F291/2018;;O;SOUTHEAST-ASIA-SEA;;
OK318531;2018;VNM;pig;O/VIT/18F281/2018;;O;SOUTHEAST-ASIA-SEA;;
OK318530;2018;VNM;pig;O/VIT/18F277/2018;;O;SOUTHEAST-ASIA-SEA;;
OK318529;2018;VNM;pig;O/VIT/18F274/2018;;O;SOUTHEAST-ASIA-SEA;;
OK318528;2018;VNM;pig;O/VIT/18F268/2018;;O;SOUTHEAST-ASIA-SEA;;
OK318527;2018;VNM;pig;O/VIT/18F263/2018;;O;SOUTHEAST-ASIA-SEA;;
OK318526;2018;VNM;buffalo;O/VIT/18F258/2018;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
OK318525;2018;VNM;pig;O/VIT/18F223/2018;;O;SOUTHEAST-ASIA-SEA;;
OK318524;2018;VNM;pig;O/VIT/18F219/2018;;O;SOUTHEAST-ASIA-SEA;;
OK318523;2018;VNM;pig;O/VIT/18F207/2018;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
OK318522;2018;VNM;pig;O/VIT/18CD-1987.1/2018;;O;SOUTHEAST-ASIA-SEA;;
OK318521;2018;VNM;pig;O/VIT/18CD-1610.2/2018;;O;CATHAY;;
OK318520;2018;VNM;pig;O/VIT/18-28811/2018;;O;SOUTHEAST-ASIA-SEA;;
OK318519;2018;VNM;cattle;O/VIT/18-23392/2018;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
OK318518;2018;VNM;goat;O/VIT/18-22002/2018;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
OK318517;2018;VNM;cattle;O/VIT/18-13553/2018;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
OK318516;2018;VNM;cattle;O/VIT/18-8353/2018;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
OK318515;2018;VNM;pig;O/VIT/18-5490/2018;;O;CATHAY;;
OK318514;2018;VNM;cattle;O/VIT/18-5482/2018;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
OK318513;2018;VNM;pig;O/VIT/18-3766/2018;;O;CATHAY;;
OK318512;2018;VNM;pig;O/VIT/18-999/2018;;O;SOUTHEAST-ASIA-SEA;;
OK318511;2018;VNM;pig;O/VIT/02.CD/2018;;O;SOUTHEAST-ASIA-SEA;;
OK318510;2019;VNM;cattle;A/VIT/TNP04-029/2019_pro;;A;ASIA;Sea-97;
OK318509;2019;VNM;cattle;A/VIT/LAP04-12/2019_pro;;A;ASIA;Sea-97;
OK318508;2019;VNM;cattle;A/VIT/LAP04-11/2019_pro;;A;ASIA;Sea-97;
OK318507;2019;VNM;cattle;A/VIT/LAP03-06/2019_pro;;A;ASIA;Sea-97;
OK318506;2019;VNM;cattle;A/VIT/LAP03-05/2019_pro;;A;ASIA;Sea-97;
OK318505;2019;VNM;cattle;A/VIT/DT-P83-4/2019_pro;;A;ASIA;Sea-97;
OK318504;2019;VNM;cattle;A/VIT/DT-P-76-3/2019_pro;;A;ASIA;Sea-97;
OK318503;2019;VNM;cattle;A/VIT/DT-P73-4/2019_pro;;A;ASIA;Sea-97;
OK318502;2019;VNM;cattle;A/VIT/DT-P-73-3/2019_pro;;A;ASIA;Sea-97;
OK318501;2019;VNM;cattle;A/VIT/DT-P21-4/2019_pro;;A;ASIA;Sea-97;
OK318500;2017;VNM;cattle;A/VIT/DL-P087-1/2017_pro;;A;ASIA;Sea-97;
OK318499;2016;VNM;cattle;A/VIT/16-20280/2016;;A;ASIA;Sea-97;
OK205907;2014;VNM;cattle;A/VIT/RAHO6F5/2014;;A;ASIA;Sea-97;
OK205906;2013;VNM;cattle;A/VIT/RAHO6F3/2013;;A;ASIA;Sea-97;
OK205905;2014;VNM;cattle;A/VIT/RAHO6F2/2014;;A;ASIA;Sea-97;
OK205904;2014;VNM;cattle;A/VIT/NCVDF1422/2014;;A;ASIA;Sea-97;
OK205903;2014;VNM;pig;A/VIT/NCVDF1413/2014;;A;ASIA;Sea-97;
OK205902;2014;VNM;cattle;A/VIT/NCVDF1404/2014;;A;ASIA;Sea-97;
OK205901;2014;VNM;buffalo;A/VIT/NCVDF1402/2014;;A;ASIA;Sea-97;
OK205900;2015;VNM;cattle;A/VIT/17208/2015;;A;ASIA;Sea-97;
OK205899;2015;VNM;cattle;A/VIT/16705/2015;;A;ASIA;Sea-97;
OK205898;2013;VNM;cattle;A/VIT/16478XL15/2013;;A;ASIA;Sea-97;
OK205897;2015;VNM;pig;A/VIT/16451DLBPP01/2015;;A;ASIA;Sea-97;
OK205896;2014;VNM;cattle;A/VIT/8506/2014;;A;ASIA;Sea-97;
OK205895;2014;VNM;cattle;A/VIT/6415/2014;;A;ASIA;Sea-97;
OK205894;2014;VNM;buffalo;A/VIT/1402/2014;;A;ASIA;Sea-97;
OK205893;2013;VNM;cattle;A/VIT/205/2013;;A;ASIA;Sea-97;
OM456150;2010;PAK;buffalo;O/PAK/SHL/16/2010;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OM456149;2012;PAK;cattle;O/PAK/SGD/176/2012;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OM456148;2012;PAK;buffalo;O/PAK/SGD/168/2012;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OM456147;2011;PAK;cattle;O/PAK/SGD/19/2011;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OM456146;2010;PAK;cattle;O/PAK/SGD/18/2010;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OM456145;2010;PAK;buffalo;O/PAK/SGD/17/2010;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OM456144;2010;PAK;cattle;O/PAK/SGD/9/2010;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OM456143;2012;PAK;buffalo;O/PAK/NSH/1/2012;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OM456142;2011;PAK;buffalo;O/PAK/KCH/41/2011;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OM456141;2011;PAK;buffalo;O/PAK/KCH/39/2011;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OM456140;2011;PAK;buffalo;O/PAK/KCH/38/2011;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OM456139;2011;PAK;buffalo;O/PAK/KCH/34/2011;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OM456138;2009;PAK;buffalo;O/PAK/KCH/4/2009;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OM456137;2012;PAK;cattle;O/PAK/JHG/6/2012;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OM456136;2012;PAK;buffalo;O/PAK/ICT/254/2012;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OM456135;2012;PAK;cattle;O/PAK/FSD/263/2012;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OM456134;2012;PAK;cattle;O/PAK/FSD/262/2012;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OM456133;2012;PAK;cattle;O/PAK/CKL/274/2012;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OM456132;2012;PAK;buffalo;O/PAK/ICT/272-1/2012_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OM456131;2012;PAK;buffalo;O/PAK/ICT/245-1/2012_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OM456130;2012;PAK;buffalo;O/PAK/ICT/166-1/2012_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OM456129;2012;PAK;buffalo;O/PAK/ICT/161-2/2012_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OM456128;2012;PAK;buffalo;O/PAK/ICT/161-1/2012_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OM455484;2012;PAK;buffalo;A/PAK/SGD/12/2012;;A;ASIA;Iran-05;
OM455483;2012;PAK;cattle;A/PAK/PSH/34/2012;;A;ASIA;Iran-05;
OM455482;2009;PAK;cattle;A/PAK/KCH/7/2009;;A;ASIA;Iran-05;
OM455481;2012;PAK;buffalo;A/PAK/ICT/276/2012;;A;ASIA;Iran-05;
OM455480;2008;PAK;cattle;A/PAK/ICT/1/2008;;A;ASIA;Iran-05;
OM455479;2012;PAK;cattle;A/PAK/FSD/4/2012;;A;ASIA;Iran-05;
OM455478;2012;PAK;buffalo;A/PAK/ICT/238-1/2012_pro;;A;ASIA;Iran-05;
OM455477;2012;PAK;buffalo;A/PAK/ICT/237-1/2012_pro;;A;ASIA;Iran-05;
OM455476;2012;PAK;buffalo;A/PAK/ICT/231-1/2012_pro;;A;ASIA;Iran-05;
OM455475;2012;PAK;buffalo;A/PAK/ICT/229-1/2012_pro;;A;ASIA;Iran-05;
OM455474;2012;PAK;buffalo;A/PAK/ICT/208-1/2012_pro;;A;ASIA;Iran-05;
OM455473;2012;PAK;buffalo;A/PAK/ICT/177-4/2012_pro;;A;ASIA;Iran-05;
OM455472;2012;PAK;buffalo;A/PAK/ICT/170-1/2012_pro;;A;ASIA;Iran-05;
OM455471;2012;PAK;buffalo;A/PAK/ICT/168-3/2012_pro;;A;ASIA;Iran-05;
OM455470;2012;PAK;buffalo;A/PAK/ICT/168-2/2012_pro;;A;ASIA;Iran-05;
OM455469;2012;PAK;buffalo;A/PAK/ICT/149-4/2012_pro;;A;ASIA;Iran-05;
OM455468;2012;PAK;buffalo;A/PAK/ICT/131-4/2012_pro;;A;ASIA;Iran-05;
OM455467;2012;PAK;buffalo;A/PAK/ICT/059-1/2012_pro;;A;ASIA;Iran-05;
OM455466;2012;PAK;buffalo;A/PAK/ICT/008-3/2012_pro;;A;ASIA;Iran-05;
OM455465;2012;PAK;buffalo;A/PAK/ICT/7-3/2012_pro;;A;ASIA;Iran-05;
OM471680;2012;PAK;buffalo;Asia1/PAK/SGD/179/2012;;Asia1;ASIA;;
OM471679;2012;PAK;cattle;Asia1/PAK/SGD/170/2012;;Asia1;ASIA;;
OM471678;2012;PAK;cattle;Asia1/PAK/SGD/171/2012;;Asia1;ASIA;;
OM471677;2012;PAK;buffalo;Asia1/PAK/SGD/167/2012;;Asia1;ASIA;;
OM471676;2011;PAK;cattle;Asia1/PAK/SGD/25/2011;;Asia1;ASIA;;
OM471675;2011;PAK;cattle;Asia1/PAK/SGD/23/2011;;Asia1;ASIA;;
OM471674;2011;PAK;cattle;Asia1/PAK/SGD/22/2011;;Asia1;ASIA;;
OM471673;2012;PAK;cattle;Asia1/PAK/RYK/287/2012;;Asia1;ASIA;;
OM471672;2012;PAK;cattle;Asia1/PAK/RYK/283/2012;;Asia1;ASIA;;
OM471671;2012;PAK;cattle;Asia1/PAK/RYK/280/2012;;Asia1;ASIA;;
OM471670;2012;PAK;buffalo;Asia1/PAK/RWP/227/2012;;Asia1;ASIA;;
OM471669;2012;PAK;cattle;Asia1/PAK/MRD/66/2012;;Asia1;ASIA;;
OM471668;2012;PAK;cattle;Asia1/PAK/KHT/9/2012;;Asia1;ASIA;;
OM471667;2011;PAK;buffalo;Asia1/PAK/KCH/39/2011;;Asia1;ASIA;;
OM471666;2011;PAK;buffalo;Asia1/PAK/KCH/38/2011;;Asia1;ASIA;;
OM471665;2011;PAK;buffalo;Asia1/PAK/KCH/34/2011;;Asia1;ASIA;;
OM471664;2011;PAK;buffalo;Asia1/PAK/KCH/32/2011;;Asia1;ASIA;;
OM471663;2012;PAK;cattle;Asia1/PAK/KCH/17/2012;;Asia1;ASIA;;
OM471662;2012;PAK;cattle;Asia1/PAK/KCH/16/2012;;Asia1;ASIA;;
OM471661;2012;PAK;cattle;Asia1/PAK/JHG/5/2012;;Asia1;ASIA;;
OM471660;2012;PAK;buffalo;Asia1/PAK/ICT/271/2012;;Asia1;ASIA;;
OM471659;2012;PAK;cattle;Asia1/PAK/FSD/85/2012;;Asia1;ASIA;;
OM471658;2012;PAK;buffalo;Asia1/PAK/ICT/283-4/2012_pro;;Asia1;ASIA;;
OM471657;2012;PAK;buffalo;Asia1/PAK/ICT/284-3/2012_pro;;Asia1;ASIA;;
OM471656;2012;PAK;buffalo;Asia1/PAK/ICT/284-1/2012_pro;;Asia1;ASIA;;
OM471655;2012;PAK;buffalo;Asia1/PAK/ICT/277-4/2012_pro;;Asia1;ASIA;;
OM471654;2012;PAK;buffalo;Asia1/PAK/ICT/277-1/2012_pro;;Asia1;ASIA;;
OM471653;2012;PAK;buffalo;Asia1/PAK/ICT/273-4/2012_pro;;Asia1;ASIA;;
OM471652;2012;PAK;buffalo;Asia1/PAK/ICT/272-4/2012_pro;;Asia1;ASIA;;
OM471651;2012;PAK;buffalo;Asia1/PAK/ICT/263-4/2012_pro;;Asia1;ASIA;;
OM471650;2012;PAK;buffalo;Asia1/PAK/ICT/263-1/2012_pro;;Asia1;ASIA;;
OM471649;2012;PAK;buffalo;Asia1/PAK/ICT/256-4/2012_pro;;Asia1;ASIA;;
OM471648;2012;PAK;buffalo;Asia1/PAK/ICT/254-4/2012_pro;;Asia1;ASIA;;
OM471647;2012;PAK;buffalo;Asia1/PAK/ICT/254-1/2012_pro;;Asia1;ASIA;;
OM471646;2012;PAK;buffalo;Asia1/PAK/ICT/237-4/2012_pro;;Asia1;ASIA;;
OM471645;2012;PAK;buffalo;Asia1/PAK/ICT/233-4/2012_pro;;Asia1;ASIA;;
OM471644;2012;PAK;buffalo;Asia1/PAK/ICT/231-4/2012_pro;;Asia1;ASIA;;
OM471643;2012;PAK;buffalo;Asia1/PAK/ICT/230-4/2012_pro;;Asia1;ASIA;;
OM471642;2012;PAK;buffalo;Asia1/PAK/ICT/229-4/2012_pro;;Asia1;ASIA;;
OM471641;2012;PAK;buffalo;Asia1/PAK/ICT/222-4/2012_pro;;Asia1;ASIA;;
OM471640;2012;PAK;buffalo;Asia1/PAK/ICT/221-4/2012_pro;;Asia1;ASIA;;
OM471639;2012;PAK;buffalo;Asia1/PAK/ICT/220-4/2012_pro;;Asia1;ASIA;;
OM471638;2012;PAK;buffalo;Asia1/PAK/ICT/209-4/2012_pro;;Asia1;ASIA;;
OM471637;2012;PAK;buffalo;Asia1/PAK/ICT/208-4/2012_pro;;Asia1;ASIA;;
OM471636;2012;PAK;buffalo;Asia1/PAK/ICT/192-4/2012_pro;;Asia1;ASIA;;
OM471635;2012;PAK;buffalo;Asia1/PAK/ICT/192-3/2012_pro;;Asia1;ASIA;;
OM471634;2012;PAK;buffalo;Asia1/PAK/ICT/192-2/2012_pro;;Asia1;ASIA;;
OM471633;2012;PAK;buffalo;Asia1/PAK/ICT/189-4/2012_pro;;Asia1;ASIA;;
OM471632;2012;PAK;buffalo;Asia1/PAK/ICT/189-3/2012_pro;;Asia1;ASIA;;
OM471631;2012;PAK;buffalo;Asia1/PAK/ICT/189-2/2012_pro;;Asia1;ASIA;;
OM471630;2012;PAK;buffalo;Asia1/PAK/ICT/187-4/2012_pro;;Asia1;ASIA;;
OM471629;2012;PAK;buffalo;Asia1/PAK/ICT/185-3/2012_pro;;Asia1;ASIA;;
OM471628;2012;PAK;buffalo;Asia1/PAK/ICT/185-1/2012_pro;;Asia1;ASIA;;
OM471627;2012;PAK;buffalo;Asia1/PAK/ICT/184-3/2012_pro;;Asia1;ASIA;;
OM471626;2012;PAK;buffalo;Asia1/PAK/ICT/184-2/2012_pro;;Asia1;ASIA;;
OM471625;2012;PAK;buffalo;Asia1/PAK/ICT/184-1/2012_pro;;Asia1;ASIA;;
OM471624;2012;PAK;buffalo;Asia1/PAK/ICT/183-2/2012_pro;;Asia1;ASIA;;
OM471623;2012;PAK;buffalo;Asia1/PAK/ICT/183-1/2012_pro;;Asia1;ASIA;;
OM471622;2012;PAK;buffalo;Asia1/PAK/ICT/181-1/2012_pro;;Asia1;ASIA;;
OM471621;2012;PAK;buffalo;Asia1/PAK/ICT/180-1/2012_pro;;Asia1;ASIA;;
OM471620;2012;PAK;buffalo;Asia1/PAK/ICT/178-3/2012_pro;;Asia1;ASIA;;
OM471619;2012;PAK;buffalo;Asia1/PAK/ICT/178-2/2012_pro;;Asia1;ASIA;;
OM471618;2012;PAK;buffalo;Asia1/PAK/ICT/177-1/2012_pro;;Asia1;ASIA;;
OM471617;2012;PAK;buffalo;Asia1/PAK/ICT/168-1/2012_pro;;Asia1;ASIA;;
OM471616;2012;PAK;buffalo;Asia1/PAK/ICT/167-1/2012_pro;;Asia1;ASIA;;
OM471615;2012;PAK;buffalo;Asia1/PAK/ICT/147-4/2012_pro;;Asia1;ASIA;;
OM471614;2012;PAK;buffalo;Asia1/PAK/ICT/144-2/2012_pro;;Asia1;ASIA;;
OM471613;2012;PAK;buffalo;Asia1/PAK/ICT/137-1/2012_pro;;Asia1;ASIA;;
OM471612;2012;PAK;buffalo;Asia1/PAK/ICT/115-1/2012_pro;;Asia1;ASIA;;
OM471611;2012;PAK;buffalo;Asia1/PAK/ICT/059-2/2012_pro;;Asia1;ASIA;;
OM471610;2011;PAK;buffalo;Asia1/PAK/ICT/008-1/2011_pro;;Asia1;ASIA;;
OM022649;2017;NER;cattle;O/NIG/PL/IDH/3/2017;;O;EAST-AFRICA-3-EA-3;;
OM022648;2017;NER;cattle;O/NIG/PL/IDF/1/2017;;O;EAST-AFRICA-3-EA-3;;
OM022646;2017;NER;cattle;O/NIG/PL/BLD/03A/2017;;O;EAST-AFRICA-3-EA-3;;
OM022644;2017;NER;cattle;O/NIG/PL/BLD/02A/2017;;O;EAST-AFRICA-3-EA-3;;
OM022643;2017;NER;cattle;O/NIG/PL/JS/KA/2/2017;;O;EAST-AFRICA-3-EA-3;;
OM022642;2018;NER;cattle;O/NIG/PL/NV/2018;;O;EAST-AFRICA-3-EA-3;;
OK019689;2016;IRN;cow;O2016;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
MG334583;2009;IRQ;cow;;Iraq 09;A;ASIA;Iran-05;
MW355679;1990;ZWE;african-buffalo;ZIM/P26/90 HV-5;;SAT3;I-SOUTHEAST-ZIMBABWE-SEZ;;
MW355678;1996;ZMB;african-buffalo;ZAM/P2/96 MUL-4;;SAT3;III-NORTHWEST-ZIMBABWE-NWZ;;
MW355677;1979;ZAF;cattle;SAR/9/79;;SAT3;I-SOUTHEAST-ZIMBABWE-SEZ;;
MW355676;1976;ZWE;cattle;RHO/26/76;;SAT3;I-SOUTHEAST-ZIMBABWE-SEZ;;
MW355674;1967;BWA;cattle;BOT/209/67;;SAT3;II-WESTERN-ZIMBABWE-WZ;;
MW355673;1989;ZWE;cattle;ZIM/8/89;;SAT2;II;;
MW355671;1970;MOZ;;MOZ/1/70;;SAT2;I;;
MW355669;1988;ZMB;cattle;ZAM/2/88;;SAT1;I-NORTHWEST-ZIMBABWE-NWZ;;
MW355668;1980;TZA;cattle;TAN/3/80;;SAT1;I-NORTHWEST-ZIMBABWE-NWZ;;
LC564923;2016;THA;cow;;A/TAI/72/2016;A;ASIA;Sea-97;
LC564922;2016;THA;cow;;A/TAI/56/2016;A;ASIA;Sea-97;
LC564921;2016;THA;cow;;A/TAI/32-1/2016;A;ASIA;Sea-97;
LC564920;2015;THA;cow;;A/TAI/137/2015;A;ASIA;Sea-97;
LC564919;2015;THA;cow;;A/TAI/108/2015;A;ASIA;Sea-97;
